shipment_ref,origin,destination,origin_norm,destination_norm,vehicle,vehicle_norm,unit,rate_usd,ref_rate_usd,delta_pct,cg_band,contract_ok,supplier_grade,supplier_tol_ok,distance_km,ref_distance_km,per_km,anomaly_z,anomaly_flag,similarity,similarity_pass,confidence,ml_confidence,risk_score,fx_msg,decision,flags,amount_usd,quantity,currency,completeness,join_key,delta_abs,fx_ok,automation_ready
HVDC-DSV-MOSB-MIR-219,SAMSUNG MOSB YARD,MIRFA PMO SAMSUNG,SAMSUNG MOSB YARD,MIRFA SITE,FLATBED,FLATBED,per truck,420.0,420.0,0.0,PASS,True,A,True,0,120.0,,,0,0.6941176470588235,True,0.8470588235294116,0.8470588235294116,0.0,USD_OK,PASS,,0.0,1.0,USD,1.0,SAMSUNG MOSB YARD→MIRFA SITE|FLATBED|per truck,0.0,True,False
HVDC-DSV-SAS-MOSB-217,DSV M44 WAREHOUSE,SAMSUNG MOSB YARD,DSV M44 WAREHOUSE,SAMSUNG MOSB YARD,FLATBED,FLATBED,per truck,200.0,200.0,0.0,PASS,True,A,True,0,10.0,,,0,0.48039215686274506,False,0.7401960784313726,0.7401960784313726,0.0,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,DSV M44 WAREHOUSE→SAMSUNG MOSB YARD|FLATBED|per truck,0.0,True,False
HVDC-ADOPT-HE-0487,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,DSV Mussafah Yard,SAMSUNG MOSB YARD,FLATBED,FLATBED,per truck,200.0,617.0,-67.58508914100486,CRITICAL,False,A,False,0,11.4,,,0,0.5796561085972851,False,0.48982805429864257,0.48982805429864257,0.27034035656401945,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,4.0,USD,1.0,DSV MUSSAFAH YARD→SAMSUNG MOSB YARD|FLATBED|per truck,67.58508914100486,True,False
HVDC-MIR-DSV-221,MIRFA PMO SAMSUNG,DSV M44 WAREHOUSE,MIRFA SITE,DSV M44 WAREHOUSE,FLATBED,FLATBED,per truck,420.0,200.0,110.00000000000001,CRITICAL,False,A,False,0,10.0,,,0,0.4017429193899782,False,0.4008714596949891,0.4008714596949891,0.44000000000000006,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,MIRFA SITE→DSV M44 WAREHOUSE|FLATBED|per truck,110.00000000000001,True,False
HVDC-DSV-MOSB-MIR-220,DSV M44 WAREHOUSE,MIRFA PMO SAMSUNG,DSV M44 WAREHOUSE,MIRFA SITE,FLATBED,FLATBED,per truck,420.0,420.0,0.0,PASS,True,A,True,0,120.0,,,0,0.7147058823529411,True,0.8573529411764704,0.8573529411764704,0.0,USD_OK,PASS,,0.0,14.0,USD,1.0,DSV M44 WAREHOUSE→MIRFA SITE|FLATBED|per truck,0.0,True,False
HVDC-DSV-MOSB-MIR-220,DSV MARKAZ,MIRFA PMO SAMSUNG,DSV MARKAZ,MIRFA SITE,FLATBED,FLATBED,per truck,420.0,420.0,0.0,PASS,True,A,True,0,120.0,,,0,0.7314814814814814,True,0.8657407407407407,0.8657407407407407,0.0,USD_OK,PASS,,0.0,4.0,USD,1.0,DSV MARKAZ→MIRFA SITE|FLATBED|per truck,0.0,True,False
HVDC-DSV-MOSB-222,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,DSV Mussafah Yard,SAMSUNG MOSB YARD,3 TON PU,3 TON PU,per truck,120.0,617.0,-80.55105348460292,CRITICAL,False,A,False,0,11.4,,,0,0.5324033613445378,False,0.4662016806722689,0.4662016806722689,0.3222042139384117,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,DSV MUSSAFAH YARD→SAMSUNG MOSB YARD|3 TON PU|per truck,80.55105348460292,True,False
HVDC-DSV-MOSB-222,DSV MARKAZ,SAMSUNG MOSB YARD,DSV MARKAZ,SAMSUNG MOSB YARD,3 TON PU,3 TON PU,per truck,120.0,617.0,-80.55105348460292,CRITICAL,False,A,False,0,11.4,,,0,0.3638848428260193,False,0.38194242141300966,0.38194242141300966,0.3222042139384117,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,DSV MARKAZ→SAMSUNG MOSB YARD|3 TON PU|per truck,80.55105348460292,True,False
HVDC-DSV-FP-TRO-223,MINA FREE PORT,TROJAN MUSSAFAH,MINA FREE PORT,TROJAN MUSSAFAH,LOWBED,LOWBED,per truck,680.7351940095303,980.26,-30.555649112528272,CRITICAL,False,A,False,0,5.0,,,0,0.45551724137931027,False,0.42775862068965514,0.42775862068965514,0.12222259645011309,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,8.0,USD,1.0,MINA FREE PORT→TROJAN MUSSAFAH|LOWBED|per truck,30.555649112528272,True,False
HVDC-DSV-MOSB-223,DSV MARKAZ,SAMSUNG MOSB YARD,DSV MARKAZ,SAMSUNG MOSB YARD,FLATBED,FLATBED,per truck,200.0,200.0,0.0,PASS,True,A,True,0,10.0,,,0,0.4811546840958605,False,0.7405773420479302,0.7405773420479302,0.0,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,DSV MARKAZ→SAMSUNG MOSB YARD|FLATBED|per truck,0.0,True,False
HVDC-DSV-MOSB-223,DSV M44 WAREHOUSE,SAMSUNG MOSB YARD,DSV M44 WAREHOUSE,SAMSUNG MOSB YARD,FLATBED,FLATBED,per truck,200.0,200.0,0.0,PASS,True,A,True,0,10.0,,,0,0.48039215686274506,False,0.7401960784313726,0.7401960784313726,0.0,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,DSV M44 WAREHOUSE→SAMSUNG MOSB YARD|FLATBED|per truck,0.0,True,False
HVDC-DSV-HE-SHU-199,HAULER DUBAI,SHUWEIHAT POWER STATION,HAULER DUBAI,SHUWEIHAT Site,FLATBED HAZMAT,FLATBED HAZMAT,per truck,1307.0115724982982,600.0,117.83526208304968,CRITICAL,False,A,False,0,240.0,,,0,0.5132183908045976,False,0.45660919540229883,0.45660919540229883,0.47134104833219875,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,3.0,USD,1.0,HAULER DUBAI→SHUWEIHAT SITE|FLATBED HAZMAT|per truck,117.83526208304968,True,False
HVDC-DSV-HE-MIR-TEC-224,MIRFA PMO SAMSUNG,JEBEL ALI,MIRFA SITE,JEBEL ALI,FLATBED,FLATBED,per truck,770.0,980.26,-21.449411380654112,CRITICAL,False,A,False,0,5.0,,,0,0.35504042360294785,False,0.46302609799493283,0.46302609799493283,0.08579764552261646,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,MIRFA SITE→JEBEL ALI|FLATBED|per truck,21.449411380654112,True,False
HVDC-DSV-HE-MIR-TEC-224,SAMSUNG MOSB YARD,MIRFA PMO SAMSUNG,SAMSUNG MOSB YARD,MIRFA SITE,FLATBED,FLATBED,per truck,714.0,420.0,70.0,CRITICAL,False,A,False,0,120.0,,,0,0.5941176470588235,False,0.4970588235294118,0.4970588235294118,0.27999999999999997,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,SAMSUNG MOSB YARD→MIRFA SITE|FLATBED|per truck,70.0,True,False
HVDC-DSV-MOSB-225,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,DSV Mussafah Yard,SAMSUNG MOSB YARD,FLATBED,FLATBED,per truck,200.0,617.0,-67.58508914100486,CRITICAL,False,A,False,0,11.4,,,0,0.5796561085972851,False,0.48982805429864257,0.48982805429864257,0.27034035656401945,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,DSV MUSSAFAH YARD→SAMSUNG MOSB YARD|FLATBED|per truck,67.58508914100486,True,False
HVDC-DSV-MOSB-225,DSV M44 WAREHOUSE,SAMSUNG MOSB YARD,DSV M44 WAREHOUSE,SAMSUNG MOSB YARD,3 TON PU,3 TON PU,per truck,100.0,600.0,-83.33333333333334,CRITICAL,False,A,False,0,250.0,,,0,0.3844086021505376,False,0.3922043010752688,0.3922043010752688,0.3333333333333334,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,DSV M44 WAREHOUSE→SAMSUNG MOSB YARD|3 TON PU|per truck,83.33333333333334,True,False
HVDC-DSV-PRE-SHU-MIR-227,PRESTIGE MUSSAFAH,MIRFA PMO SAMSUNG,DSV Mussafah Yard,MIRFA SITE,FLATBED,FLATBED,per truck,420.0,420.0,0.0,PASS,True,A,True,0,120.0,,,0,1.0,True,1.0,1.0,0.0,USD_OK,PASS,,0.0,1.0,USD,1.0,DSV MUSSAFAH YARD→MIRFA SITE|FLATBED|per truck,0.0,True,True
HVDC-DSV-PRE-SHU-MIR-227,PRESTIGE MUSSAFAH,SHUWEIHAT POWER STATION,DSV Mussafah Yard,SHUWEIHAT Site,FLATBED,FLATBED,per truck,600.0,600.0,0.0,PASS,True,A,True,0,240.0,,,0,1.0,True,1.0,1.0,0.0,USD_OK,PASS,,0.0,1.0,USD,1.0,DSV MUSSAFAH YARD→SHUWEIHAT SITE|FLATBED|per truck,0.0,True,True
HVDC-DSV-HE-SHU-228,DSV M44 WAREHOUSE,SHUWEIHAT POWER STATION,DSV M44 WAREHOUSE,SHUWEIHAT Site,FLATBED,FLATBED,per truck,600.0,600.0,0.0,PASS,True,A,True,0,250.0,,,0,0.8533333333333333,True,0.9266666666666665,0.9266666666666665,0.0,USD_OK,PASS,,0.0,2.0,USD,1.0,DSV M44 WAREHOUSE→SHUWEIHAT SITE|FLATBED|per truck,0.0,True,False
HVDC-DSV-MOSB-229,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,DSV Mussafah Yard,SAMSUNG MOSB YARD,FLATBED,FLATBED,per truck,200.0,617.0,-67.58508914100486,CRITICAL,False,A,False,0,11.4,,,0,0.5796561085972851,False,0.48982805429864257,0.48982805429864257,0.27034035656401945,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,2.0,USD,1.0,DSV MUSSAFAH YARD→SAMSUNG MOSB YARD|FLATBED|per truck,67.58508914100486,True,False
HVDC-DSV-SHU-SKM-226,SHUWEIHAT POWER STATION,Surti Industries LLC (JEBEL ALI),SHUWEIHAT Site,Surti Industries LLC (JEBEL ALI),3 TON PU,3 TON PU,per truck,410.0,420.0,-2.380952380952381,WARN,True,A,False,0,120.0,,,0,0.2457194060419867,False,0.5990501792114695,0.5990501792114695,0.009523809523809525,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,SHUWEIHAT SITE→SURTI INDUSTRIES LLC (JEBEL ALI)|3 TON PU|per truck,2.380952380952381,True,False
HVDC-DSV-PRE-MIR/SHU-230,PRESTIGE MUSSAFAH,MIRFA PMO SAMSUNG,DSV Mussafah Yard,MIRFA SITE,FLATBED,FLATBED,per truck,420.0,420.0,0.0,PASS,True,A,True,0,120.0,,,0,1.0,True,1.0,1.0,0.0,USD_OK,PASS,,0.0,5.0,USD,1.0,DSV MUSSAFAH YARD→MIRFA SITE|FLATBED|per truck,0.0,True,True
HVDC-DSV-PRE-MIR/SHU-230,PRESTIGE MUSSAFAH,SHUWEIHAT POWER STATION,DSV Mussafah Yard,SHUWEIHAT Site,FLATBED,FLATBED,per truck,600.0,600.0,0.0,PASS,True,A,True,0,240.0,,,0,1.0,True,1.0,1.0,0.0,USD_OK,PASS,,0.0,4.0,USD,1.0,DSV MUSSAFAH YARD→SHUWEIHAT SITE|FLATBED|per truck,0.0,True,True
HVDC-ADOPT-SCT-0123-0124,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,DSV Mussafah Yard,SAMSUNG MOSB YARD,FLATBED,FLATBED,per truck,200.0,617.0,-67.58508914100486,CRITICAL,False,A,False,0,11.4,,,0,0.5796561085972851,False,0.48982805429864257,0.48982805429864257,0.27034035656401945,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,DSV MUSSAFAH YARD→SAMSUNG MOSB YARD|FLATBED|per truck,67.58508914100486,True,False
HVDC-ADOPT-SCT-0123-0124,DSV MUSSAFAH YARD,"MIRFA PMO SAMSUNG +
 SHUWEIHAT POWER STATION",DSV Mussafah Yard,MIRFA PMO SAMSUNG + SHUWEIHAT POWER STATION,FLATBED,FLATBED,per truck,810.0,600.0,35.0,CRITICAL,False,A,False,0,240.0,,,0,0.5850877192982455,False,0.4925438596491228,0.4925438596491228,0.13999999999999999,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,DSV MUSSAFAH YARD→MIRFA PMO SAMSUNG + SHUWEIHAT POWER STATION|FLATBED|per truck,35.0,True,False
HVDC-ADOPT-HE-0499,MOSB,SHUWEIHAT POWER STATION,Al Masaood (MOSB),SHUWEIHAT Site,LOWBED,LOWBED,per truck,1524.8468345813478,420.0,263.05877013841615,CRITICAL,False,A,False,0,120.0,,,0,0.6157051282051282,True,0.5078525641025642,0.5078525641025642,1.0,USD_OK,FAIL,AUTO_FAIL,0.0,2.0,USD,1.0,AL MASAOOD (MOSB)→SHUWEIHAT SITE|LOWBED|per truck,263.05877013841615,True,False
HVDC-DSV-PRE-MDAS-232 (PEI_SCT-19LT-PJC-LPO-1450),PRESTIGE MUSSAFAH,SAMSUNG MOSB YARD,DSV Mussafah Yard,SAMSUNG MOSB YARD,3 TON PU,3 TON PU,per truck,100.0,617.0,-83.79254457050244,CRITICAL,False,A,False,0,11.4,,,0,0.5324033613445378,False,0.4662016806722689,0.4662016806722689,0.3351701782820098,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,DSV MUSSAFAH YARD→SAMSUNG MOSB YARD|3 TON PU|per truck,83.79254457050244,True,False
HVDC-DSV-PRE-MDAS-232 (PEI_SCT-19LT-PJC-LPO-1450),SAMSUNG MOSB YARD,SHUWEIHAT POWER STATION,SAMSUNG MOSB YARD,SHUWEIHAT Site,3 TON PU,3 TON PU,per truck,210.0,600.0,-65.0,CRITICAL,False,A,False,0,240.0,,,0,0.5074509803921569,False,0.45372549019607844,0.45372549019607844,0.26,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,SAMSUNG MOSB YARD→SHUWEIHAT SITE|3 TON PU|per truck,65.0,True,False
HVDC-DSV-HAU-SHU-231,HAULER DUBAI,SHUWEIHAT POWER STATION,HAULER DUBAI,SHUWEIHAT Site,FLATBED HAZMAT,FLATBED HAZMAT,per truck,1307.0115724982982,600.0,117.83526208304968,CRITICAL,False,A,False,0,240.0,,,0,0.5132183908045976,False,0.45660919540229883,0.45660919540229883,0.47134104833219875,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,2.0,USD,1.0,HAULER DUBAI→SHUWEIHAT SITE|FLATBED HAZMAT|per truck,117.83526208304968,True,False
HVDC-DSV-HE-AGI-233,DSV M44 WAREHOUSE,SAMSUNG MOSB YARD,DSV M44 WAREHOUSE,SAMSUNG MOSB YARD,FLATBED,FLATBED,per truck,200.0,200.0,0.0,PASS,True,A,True,0,10.0,,,0,0.48039215686274506,False,0.7401960784313726,0.7401960784313726,0.0,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,DSV M44 WAREHOUSE→SAMSUNG MOSB YARD|FLATBED|per truck,0.0,True,False
HVDC-DSV-SHU-MIR-235,SHUWEIHAT POWER STATION,MIRFA PMO SAMSUNG,SHUWEIHAT Site,MIRFA SITE,FLATBED,FLATBED,per truck,600.0,420.0,42.857142857142854,CRITICAL,False,A,False,0,120.0,,,0,0.5403225806451613,False,0.47016129032258064,0.47016129032258064,0.17142857142857143,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,SHUWEIHAT SITE→MIRFA SITE|FLATBED|per truck,42.857142857142854,True,False
HVDC-DSV-SAS-SHU-234,SAS POWER INDUSTRIES FZE,Shuweihat Power Station,SAS POWER INDUSTRIES FZE,SHUWEIHAT Site,FLATBED,FLATBED,per truck,1780.0,600.0,196.66666666666666,CRITICAL,False,A,False,0,250.0,,,0,0.5445945945945946,False,0.4722972972972973,0.4722972972972973,0.7866666666666666,USD_OK,PENDING_REVIEW,LOW_SIMILARITY,0.0,1.0,USD,1.0,SAS POWER INDUSTRIES FZE→SHUWEIHAT SITE|FLATBED|per truck,196.66666666666666,True,False
