No,Shipment Invoice No.,SCT Ref.No,Site,EQ No,Case No.,Pkg,Storage,Description,L(CM),W(CM),H(CM),CBM,N.W(kgs),G.W(kgs),Stack,HS Code,Currency,Price,Vessel,COE,POL,POD,ETD/ATD,ETA/ATA,DSV Indoor,DSV Al Markaz,DSV Outdoor,Hauler Indoor,DSV MZP,MOSB,Shifting,MIR,SHU,DAS,AGI,Source_Sheet,Vendor,DHL WH,JDN MZD,AAA Storage,Status_WAREHOUSE,Status_SITE,Status_Current,Status_Location,Status_Location_Date,Status_Storage,wh_handling_legacy,site handling,total handling,minus,final handling,SQM,Stack_Status,Source_File,HAULER,Status_Location_YearMonth,site_handling_original,total_handling_original,wh_handling_original,FLOW_CODE,FLOW_DESCRIPTION,Final_Location,입고일자
195,PRL-MIR-002-O Lot 8,HVDC-ADOPT-HE-0155,MIR,EQ-001,207930,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,ESTELLE Maersk,Sweden,Gothenburg,Khalifa port,2024-05-23,2024-07-03,,2024-07-11,,,,,,2025-09-18,,,,"Case List, RIL",HITACHI,,,,1.0,1.0,site,MIR,2025-09-18,site,1,1,2,0,2,,,HITACHI(HE),,,1,2,1,2,Port → WH → Site,MIR,
196,PRL-MIR-002-O Lot 8,HVDC-ADOPT-HE-0155,MIR,EQ-001,207931,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,ESTELLE Maersk,Sweden,Gothenburg,Khalifa port,2024-05-23,2024-07-03,,2024-07-11,,,,,,2025-09-18,,,,"Case List, RIL",HITACHI,,,,1.0,1.0,site,MIR,2025-09-18,site,1,1,2,0,2,,,HITACHI(HE),,,1,2,1,2,Port → WH → Site,MIR,
197,PRL-MIR-002-O lot 3,HVDC-ADOPT-HE-0142,MIR,EQ-001,207932,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,Edith Maersk,Sweden,Gothenburg,Khalifa port,2024-05-09,2024-06-28,2025-06-29,,,,,,,2025-09-18,,,,"Case List, RIL",HITACHI,,,,1.0,1.0,site,MIR,2025-09-18,site,1,1,2,0,2,,,HITACHI(HE),,,1,2,1,2,Port → WH → Site,MIR,
198,PRL-MIR-002-O lot 3,HVDC-ADOPT-HE-0142,MIR,EQ-001,207933,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,Edith Maersk,Sweden,Gothenburg,Khalifa port,2024-05-09,2024-06-28,2025-06-29,,,,,,,2025-09-18,,,,"Case List, RIL",HITACHI,,,,1.0,1.0,site,MIR,2025-09-18,site,1,1,2,0,2,,,HITACHI(HE),,,1,2,1,2,Port → WH → Site,MIR,
199,PRL-MIR-002-O Lot 8,HVDC-ADOPT-HE-0155,MIR,EQ-001,207934,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,ESTELLE Maersk,Sweden,Gothenburg,Khalifa port,2024-05-23,2024-07-03,,2024-07-11,,,,,,2025-09-18,,,,"Case List, RIL",HITACHI,,,,1.0,1.0,site,MIR,2025-09-18,site,1,1,2,0,2,,,HITACHI(HE),,,1,2,1,2,Port → WH → Site,MIR,
200,PRL-MIR-002-O Lot 8,HVDC-ADOPT-HE-0155,MIR,EQ-001,207935,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,ESTELLE Maersk,Sweden,Gothenburg,Khalifa port,2024-05-23,2024-07-03,,2024-07-11,,,,,,2025-09-18,,,,"Case List, RIL",HITACHI,,,,1.0,1.0,site,MIR,2025-09-18,site,1,1,2,0,2,,,HITACHI(HE),,,1,2,1,2,Port → WH → Site,MIR,
201,PRL-MIR-002-O Lot 8,HVDC-ADOPT-HE-0155,MIR,EQ-001,207936,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,ESTELLE Maersk,Sweden,Gothenburg,Khalifa port,2024-05-23,2024-07-03,,2024-07-11,,,,,,2025-09-18,,,,"Case List, RIL",HITACHI,,,,1.0,1.0,site,MIR,2025-09-18,site,1,1,2,0,2,,,HITACHI(HE),,,1,2,1,2,Port → WH → Site,MIR,
202,PRL-MIR-002-O Lot 6-1,HVDC-ADOPT-HE-0153-1,MIR,EQ-001,207937,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,Eugen Maersk,Sweden,Gothenburg,Khalifa port,2024-05-17,2024-06-25,2025-07-01,,,,,,,2025-09-18,,,,"Case List, RIL",HITACHI,,,,1.0,1.0,site,MIR,2025-09-18,site,1,1,2,0,2,,,HITACHI(HE),,,1,2,1,2,Port → WH → Site,MIR,
203,PRL-MIR-002-O lot 3,HVDC-ADOPT-HE-0142,MIR,EQ-001,207938,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,Edith Maersk,Sweden,Gothenburg,Khalifa port,2024-05-09,2024-06-28,2025-06-29,,,,,,,2025-09-18,,,,"Case List, RIL",HITACHI,,,,1.0,1.0,site,MIR,2025-09-18,site,1,1,2,0,2,,,HITACHI(HE),,,1,2,1,2,Port → WH → Site,MIR,
204,PRL-MIR-002-O lot 3,HVDC-ADOPT-HE-0142,MIR,EQ-001,207939,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,Edith Maersk,Sweden,Gothenburg,Khalifa port,2024-05-09,2024-06-28,2025-06-29,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2025-06-29,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
205,PRL-MIR-002-O Lot 6-2,HVDC-ADOPT-HE-0153-2,MIR,EQ-001,207940,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,ESTELLE Maersk,Sweden,Gothenburg,Khalifa port,2024-05-19,2024-07-03,,2024-07-08,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Al Markaz,2024-07-08,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Al Markaz,
206,PRL-MIR-002-O lot 3,HVDC-ADOPT-HE-0142,MIR,EQ-001,207941,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,Edith Maersk,Sweden,Gothenburg,Khalifa port,2024-05-09,2024-06-28,2025-06-29,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2025-06-29,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
207,PRL-MIR-002-O lot 3,HVDC-ADOPT-HE-0142,MIR,EQ-001,207942,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,Edith Maersk,Sweden,Gothenburg,Khalifa port,2024-05-09,2024-06-28,2025-06-29,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2025-06-29,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
208,PRL-MIR-002-O Lot 4,HVDC-ADOPT-HE-0146,MIR,EQ-001,207943,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,EDITH Maersk,Sweden,Gothenburg,Khalifa port,2024-05-09,2024-06-17,2024-06-22,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2024-06-22,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
209,PRL-MIR-002-O Lot 4,HVDC-ADOPT-HE-0146,MIR,EQ-001,207944,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,EDITH Maersk,Sweden,Gothenburg,Khalifa port,2024-05-09,2024-06-17,2024-06-22,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2024-06-22,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
210,PRL-MIR-002-O Lot 4,HVDC-ADOPT-HE-0146,MIR,EQ-001,207945,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,EDITH Maersk,Sweden,Gothenburg,Khalifa port,2024-05-09,2024-06-17,2024-06-22,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2024-06-22,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
211,PRL-MIR-002-O Lot 4,HVDC-ADOPT-HE-0146,MIR,EQ-001,207946,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,EDITH Maersk,Sweden,Gothenburg,Khalifa port,2024-05-09,2024-06-17,2024-06-22,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2024-06-22,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
212,PRL-MIR-002-O Lot 4,HVDC-ADOPT-HE-0146,MIR,EQ-001,207947,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,EDITH Maersk,Sweden,Gothenburg,Khalifa port,2024-05-09,2024-06-17,2024-06-22,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2024-06-22,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
213,PRL-MIR-002-O Lot 6-1,HVDC-ADOPT-HE-0153-1,MIR,EQ-001,207948,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,Eugen Maersk,Sweden,Gothenburg,Khalifa port,2024-05-17,2024-06-25,2025-07-01,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2025-07-01,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
214,PRL-MIR-002-O Lot 6-2,HVDC-ADOPT-HE-0153-2,MIR,EQ-001,207949,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,ESTELLE Maersk,Sweden,Gothenburg,Khalifa port,2024-05-19,2024-07-03,,2024-07-08,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Al Markaz,2024-07-08,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Al Markaz,
215,PRL-MIR-002-O Lot 4,HVDC-ADOPT-HE-0146,MIR,EQ-001,207950,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,EDITH Maersk,Sweden,Gothenburg,Khalifa port,2024-05-09,2024-06-17,2024-06-22,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2024-06-22,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
216,PRL-MIR-002-O lot 3,HVDC-ADOPT-HE-0142,MIR,EQ-001,207951,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,Edith Maersk,Sweden,Gothenburg,Khalifa port,2024-05-09,2024-06-28,2025-06-29,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2025-06-29,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
217,PRL-MIR-002-O lot 3,HVDC-ADOPT-HE-0142,MIR,EQ-001,207952,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,Edith Maersk,Sweden,Gothenburg,Khalifa port,2024-05-09,2024-06-28,2025-06-29,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2025-06-29,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
218,PRL-MIR-002-O Lot 4,HVDC-ADOPT-HE-0146,MIR,EQ-001,207953,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,EDITH Maersk,Sweden,Gothenburg,Khalifa port,2024-05-09,2024-06-17,2024-06-22,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2024-06-22,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
219,PRL-MIR-002-O Lot 4,HVDC-ADOPT-HE-0146,MIR,EQ-001,207954,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,EDITH Maersk,Sweden,Gothenburg,Khalifa port,2024-05-09,2024-06-17,2024-06-22,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2024-06-22,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
220,PRL-MIR-002-O Lot 4,HVDC-ADOPT-HE-0146,MIR,EQ-001,207955,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,EDITH Maersk,Sweden,Gothenburg,Khalifa port,2024-05-09,2024-06-17,2024-06-22,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2024-06-22,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
221,PRL-MIR-002-O Lot 4,HVDC-ADOPT-HE-0146,MIR,EQ-001,207956,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,EDITH Maersk,Sweden,Gothenburg,Khalifa port,2024-05-09,2024-06-17,2024-06-22,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2024-06-22,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
222,PRL-MIR-002-O Lot 6-2,HVDC-ADOPT-HE-0153-2,MIR,EQ-001,207957,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,ESTELLE Maersk,Sweden,Gothenburg,Khalifa port,2024-05-19,2024-07-03,,2024-07-08,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Al Markaz,2024-07-08,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Al Markaz,
223,PRL-MIR-002-O Lot 6-1,HVDC-ADOPT-HE-0153-1,MIR,EQ-001,207958,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,Eugen Maersk,Sweden,Gothenburg,Khalifa port,2024-05-17,2024-06-25,2025-07-01,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2025-07-01,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
224,PRL-MIR-002-O Lot 6-1,HVDC-ADOPT-HE-0153-1,MIR,EQ-001,207959,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,Eugen Maersk,Sweden,Gothenburg,Khalifa port,2024-05-17,2024-06-25,2025-07-01,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2025-07-01,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
225,PRL-MIR-002-O Lot 4,HVDC-ADOPT-HE-0146,MIR,EQ-001,207960,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,EDITH Maersk,Sweden,Gothenburg,Khalifa port,2024-05-09,2024-06-17,2024-06-22,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2024-06-22,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
226,PRL-MIR-002-O Lot 6-2,HVDC-ADOPT-HE-0153-2,MIR,EQ-001,207961,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,ESTELLE Maersk,Sweden,Gothenburg,Khalifa port,2024-05-19,2024-07-03,,2024-07-08,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Al Markaz,2024-07-08,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Al Markaz,
227,PRL-MIR-002-O Lot 4,HVDC-ADOPT-HE-0146,MIR,EQ-001,207962,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,EDITH Maersk,Sweden,Gothenburg,Khalifa port,2024-05-09,2024-06-17,2024-06-22,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2024-06-22,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
228,PRL-MIR-002-O lot 3,HVDC-ADOPT-HE-0142,MIR,EQ-001,207963,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,Edith Maersk,Sweden,Gothenburg,Khalifa port,2024-05-09,2024-06-28,2025-06-29,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2025-06-29,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
229,PRL-MIR-002-O Lot 6-2,HVDC-ADOPT-HE-0153-2,MIR,EQ-001,207964,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,ESTELLE Maersk,Sweden,Gothenburg,Khalifa port,2024-05-19,2024-07-03,,2024-07-09,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Al Markaz,2024-07-09,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Al Markaz,
230,PRL-MIR-002-O Lot 6-2,HVDC-ADOPT-HE-0153-2,MIR,EQ-001,207965,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,ESTELLE Maersk,Sweden,Gothenburg,Khalifa port,2024-05-19,2024-07-03,,2024-07-09,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Al Markaz,2024-07-09,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Al Markaz,
231,PRL-MIR-002-O Lot 6-2,HVDC-ADOPT-HE-0153-2,MIR,EQ-001,207966,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,ESTELLE Maersk,Sweden,Gothenburg,Khalifa port,2024-05-19,2024-07-03,,2024-07-09,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Al Markaz,2024-07-09,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Al Markaz,
232,PRL-MIR-002-O Lot 8,HVDC-ADOPT-HE-0155,MIR,EQ-001,207967,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,ESTELLE Maersk,Sweden,Gothenburg,Khalifa port,2024-05-23,2024-07-03,,2024-07-11,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Al Markaz,2024-07-11,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Al Markaz,
233,PRL-MIR-002-O Lot 6-2,HVDC-ADOPT-HE-0153-2,MIR,EQ-001,207968,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,ESTELLE Maersk,Sweden,Gothenburg,Khalifa port,2024-05-19,2024-07-03,,2024-07-09,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Al Markaz,2024-07-09,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Al Markaz,
234,PRL-MIR-002-O Lot 6-1,HVDC-ADOPT-HE-0153-1,MIR,EQ-001,207969,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,Eugen Maersk,Sweden,Gothenburg,Khalifa port,2024-05-17,2024-06-25,2025-07-01,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2025-07-01,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
235,PRL-MIR-002-O Lot 6-1,HVDC-ADOPT-HE-0153-1,MIR,EQ-001,207970,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,Eugen Maersk,Sweden,Gothenburg,Khalifa port,2024-05-17,2024-06-25,2025-07-01,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2025-07-01,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
236,PRL-MIR-002-O Lot 4,HVDC-ADOPT-HE-0146,MIR,EQ-001,207971,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,EDITH Maersk,Sweden,Gothenburg,Khalifa port,2024-05-09,2024-06-17,2024-06-22,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2024-06-22,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
237,PRL-MIR-002-O Lot 6-1,HVDC-ADOPT-HE-0153-1,MIR,EQ-001,207972,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,Eugen Maersk,Sweden,Gothenburg,Khalifa port,2024-05-17,2024-06-25,2025-07-01,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2025-07-01,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
238,PRL-MIR-002-O Lot 6-2,HVDC-ADOPT-HE-0153-2,MIR,EQ-001,207973,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,ESTELLE Maersk,Sweden,Gothenburg,Khalifa port,2024-05-19,2024-07-03,,2024-07-09,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Al Markaz,2024-07-09,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Al Markaz,
239,PRL-MIR-002-O Lot 4,HVDC-ADOPT-HE-0146,MIR,EQ-001,207974,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,EDITH Maersk,Sweden,Gothenburg,Khalifa port,2024-05-09,2024-06-17,2024-06-22,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2024-06-22,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
240,PRL-MIR-002-O Lot 8,HVDC-ADOPT-HE-0155,MIR,EQ-001,207975,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,ESTELLE Maersk,Sweden,Gothenburg,Khalifa port,2024-05-23,2024-07-03,,2024-07-11,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Al Markaz,2024-07-11,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Al Markaz,
241,PRL-MIR-002-O Lot 6-2,HVDC-ADOPT-HE-0153-2,MIR,EQ-001,207976,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,ESTELLE Maersk,Sweden,Gothenburg,Khalifa port,2024-05-19,2024-07-03,,2024-07-09,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Al Markaz,2024-07-09,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Al Markaz,
242,PRL-MIR-002-O lot 3,HVDC-ADOPT-HE-0142,MIR,EQ-001,207977,1,Indoor,Layer 12 Cells - Mirfa,365.0,233.0,172.0,14.62774,4500.0,5000.0,Stackable x1,85044083,SEK,2079511.08,Edith Maersk,Sweden,Gothenburg,Khalifa port,2024-05-09,2024-06-28,2025-06-29,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2025-06-29,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
