No,CWI Job Number,Order Ref. Number,S/No,RATE SOURCE,DESCRIPTION,RATE,Formula,Q'TY,TOTAL (USD),REV RATE,REV TOTAL,DIFFERENCE,Validation_Status,Ref_Rate_USD,Python_Delta,CG_Band,Charge_Group,Gate_Score,Gate_Status,PDF_Count,PDF_Amount,PDF_Qty,PDF_Unit_Rate,Validation_Notes
16,BAMF0016623,HVDC-ADOPT-SCT-0038,1,CONTRACT,PORT CONTAINER REPAIR FEES (KOCU4717043),49.01,=180/3.6725,1,49.01,49.01,49.01,0.0,REVIEW_NEEDED,,,N/A,Contract,60,FAIL,1,,,,No contract rate found
17,BAMF0017824,HVDC-ADOPT-SCT-0122,1,CONTRACT,MASTER DO FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,100,PASS,5,,,,Contract rate from config; Within tolerance
18,BAMF0017824,HVDC-ADOPT-SCT-0122,2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,100,PASS,5,,,,Contract rate from config; Within tolerance
19,BAMF0017824,HVDC-ADOPT-SCT-0122,3,CONTRACT,TERMINAL HANDLING FEE (1 X 20DC),372.0,,1,372.0,372.0,372.0,0.0,REVIEW_NEEDED,,,N/A,Contract,70,FAIL,5,,,,No contract rate found
20,BAMF0017824,HVDC-ADOPT-SCT-0122,4,CONTRACT,TRANSPORTATION CHARGES (1 X 20DC) FROM KHALIFA PORT TO DSV MUSSAFAH YARD,252.0,,1,252.0,252.0,252.0,0.0,PASS,252.0,0.0,PASS,Contract,100,PASS,5,,,,Contract rate from config; Within tolerance
21,BAMF0017824,HVDC-ADOPT-SCT-0122,5,AT COST,CARRIER CONTAINER INSPECTION FEE (1 X 20DC),40.84411164057182,=150/3.6725,1,40.84411164057182,40.84,40.84,-0.004111640571814235,PASS,40.84,0.01,N/A,AtCost,70,FAIL,5,,,,⚠ CRITICAL: At Cost requires PDF verification - No PDF data found!; Within tolerance
22,BAMF0017824,HVDC-ADOPT-SCT-0122,6,AT COST,CARRIER CONTAINER PROTECTION FEE (1 X 20DC),8.168822328114365,=30/3.6725,1,8.168822328114365,8.17,8.17,0.001177671885635334,PASS,8.17,-0.01,N/A,AtCost,70,FAIL,5,,,,⚠ CRITICAL: At Cost requires PDF verification - No PDF data found!; Within tolerance
23,BAMF0017824,HVDC-ADOPT-SCT-0122,7,AT COST,PORT CONTAINER INSPECTION & WASHING FEE (1 X 20DC),21.78352620830497,=(25+55)/3.6725,1,21.78352620830497,21.78,21.78,-0.0035262083049687476,REVIEW_NEEDED,,,N/A,AtCost,70,FAIL,5,,,,⚠ CRITICAL: At Cost requires PDF verification - No PDF data found!
24,BAMF0017825,HVDC-ADOPT-SCT-0131,1,CONTRACT,MASTER DO FEE,80.0,,1,80.0,80.0,80.0,0.0,PASS,80.0,0.0,PASS,Contract,100,PASS,5,,,,Contract rate from config; Within tolerance
25,BAMF0017825,HVDC-ADOPT-SCT-0131,2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,100,PASS,5,,,,Contract rate from config; Within tolerance
26,BAMF0017825,HVDC-ADOPT-SCT-0131,3,CONTRACT,TERMINAL HANDLING CHARGES (CW: 2136 KG),0.55,,2136,1174.8000000000002,0.55,1174.8000000000002,0.0,REVIEW_NEEDED,,,N/A,Contract,70,FAIL,5,,,,No contract rate found
27,BAMF0017825,HVDC-ADOPT-SCT-0131,4,CONTRACT,TRANSPORTATION CHARGES (1 FB) FROM AUH AIRPORT TO MOSB,200.0,,1,200.0,200.0,200.0,0.0,PASS,200.0,0.0,PASS,Contract,100,PASS,5,,,,Contract rate from config; Within tolerance
28,BAMF0017825,HVDC-ADOPT-SCT-0131,5,AT COST,APPOINTMENT FEE,7.351940095302927,=27/3.6725,1,7.351940095302927,7.35,7.35,-0.0019400953029276025,PASS,7.35,0.03,PASS,PortalFee,70,FAIL,5,,,,⚠ CRITICAL: At Cost requires PDF verification - No PDF data found!; Within tolerance
29,BAMF0017825,HVDC-ADOPT-SCT-0131,6,AT COST,DPC FEE,9.530292716133424,=35/3.6725,1,9.530292716133424,9.53,9.53,-0.00029271613342451985,PASS,9.53,0.0,PASS,PortalFee,70,FAIL,5,,,,⚠ CRITICAL: At Cost requires PDF verification - No PDF data found!; Within tolerance
30,BAMF0017918,"HVDC-ADOPT-SCT-0123, 0124",1,CONTRACT,MASTER DO FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,100,PASS,6,130.0,1.0,130.0,Contract rate from config; Within tolerance
