no.,Shipment Invoice No.,SCT Ref.No,Site,EQ No,Case No.,Pkg,Storage,Description,L(CM),W(CM),H(CM),CBM,N.W(kgs),G.W(kgs),Stack,HS Code,Currency,Price,Vessel,COE,POL,POD,ETD/ATD,ETA/ATA,DHL WH,DSV Indoor,DSV Al Markaz,AAA Storage,DSV Outdoor,DSV MZP,MOSB,Hauler Indoor,JDN MZD,Shifting,MIR,SHU,DAS,AGI,Source_Sheet,Status_WAREHOUSE,Status_SITE,Status_Current,Status_Location,Status_Location_Date,Status_Storage,wh handling,site handling,total handling,minus,final handling,SQM,고유 중복,Vendor,Source_Vendor,__case_key__,__dup_label__,Source_File,Status_Location_YearMonth,site_handling_original,total_handling_original,wh_handling_original,FLOW_CODE_ORIG,FLOW_OVERRIDE_REASON,FLOW_CODE,FLOW_DESCRIPTION,Final_Location
632,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Circuit breaker Accessories,115.0,85.0,51.0,0.498525,59,106.0,Non Stackable,2537 2099,USD,19006.57035087719,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,0.98,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
633,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Bus Bar & Accessories,310.0,105.0,120.0,3.906,2996,2996.0,Non Stackable,2537 2099,USD,19006.57035087719,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,3.25,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
634,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Bus Bar & Accessories,205.0,110.0,135.0,3.04425,1722,1722.0,Non Stackable,2537 2099,USD,19006.57035087719,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,2.25,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
635,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Support Bus Bar ,310.0,150.0,65.0,3.0225,1123,1123.0,Non Stackable,2537 2099,USD,19006.57035087719,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,4.65,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
636,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Support Bus Bar Type 1 & 2,190.0,106.0,105.0,2.1147,992,992.0,Non Stackable,2537 2099,USD,19006.57035087719,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,2.01,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
637,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Bus Bar & Accessories,180.0,85.0,70.0,1.071,1128,1128.0,Non Stackable,2537 2099,USD,19006.57035087719,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,1.53,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
638,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Support Bus Bar Type 1,120.0,80.0,75.0,0.72,863,863.0,Non Stackable,2537 2099,USD,19006.57035087719,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,0.96,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
639,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Bus Bar & Accessories,120.0,80.0,56.0,0.5376,585,585.0,Non Stackable,2537 2099,USD,19006.57035087719,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,0.96,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
640,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Support Bus Bar ,130.0,110.0,85.0,1.2155,1044,1044.0,Non Stackable,2537 2099,USD,19006.57035087719,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,1.43,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
641,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Support Bus Bar ,120.0,80.0,105.0,1.008,701,701.0,Non Stackable,2537 2099,USD,19006.57035087719,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,0.96,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
