shipment_ref,origin,destination,origin_norm,destination_norm,vehicle,vehicle_norm,unit,rate_usd,ref_rate_usd,delta_pct,cg_band,contract_ok,supplier_grade,supplier_tol_ok,distance_km,ref_distance_km,per_km,anomaly_z,anomaly_flag,similarity,similarity_pass,confidence,ml_confidence,risk_score,fx_msg,decision,flags,amount_usd,quantity,currency,completeness,join_key,ref_method,min_fare_applied,delta_abs,fx_ok,confidence_gate,automation_ready
HVDC-DSV-MOSB-SHU-216,SAMSUNG MOSB YARD,SHUWEIHAT POWER STATION,SAMSUNG MOSB YARD,SHUWEIHAT Site,3 TON PU,3 TON PU,per truck,210.0,150.0,40.0,CRITICAL,False,A,False,0,,,,0,0.0,False,0.2,0.2,0.16000000000000003,USD_OK,PENDING_REVIEW,LOW_SIMILARITY|MIN_FARE_APPLIED,0.0,1.0,USD,1.0,SAMSUNG MOSB YARD→SHUWEIHAT SITE|3 TON PU|per truck,none,True,40.0,True,False,False
HVDC-DSV-SHU-218,DSV MUSSAFAH YARD,SHUWEIHAT POWER STATION,DSV Mussafah Yard,SHUWEIHAT Site,FLATBED,FLATBED,per truck,600.0,600.0,0.0,PASS,True,A,True,0,245.0,,,0,1.0,True,1.0,1.0,0.0,USD_OK,VERIFIED,,0.0,1.0,USD,1.0,DSV MUSSAFAH YARD→SHUWEIHAT SITE|FLATBED|per truck,nan,False,0.0,True,True,False
HVDC-DSV-MOSB-MIR-219,SAMSUNG MOSB YARD,MIRFA PMO SAMSUNG,SAMSUNG MOSB YARD,MIRFA SITE,FLATBED,FLATBED,per truck,420.0,420.0,0.0,PASS,True,A,True,0,101.4,,,0,0.6132121212121212,True,0.8066060606060605,0.8066060606060605,0.0,USD_OK,PASS,,0.0,1.0,USD,1.0,SAMSUNG MOSB YARD→MIRFA SITE|FLATBED|per truck,similarity,False,0.0,True,False,False
HVDC-DSV-SAS-MOSB-217,DSV M44 WAREHOUSE,SAMSUNG MOSB YARD,DSV M44 WAREHOUSE,SAMSUNG MOSB YARD,FLATBED,FLATBED,per truck,200.0,200.0,0.0,PASS,True,A,True,0,2.0,,,0,0.5878787878787878,True,0.793939393939394,0.793939393939394,0.0,USD_OK,PENDING_REVIEW,,0.0,1.0,USD,1.0,DSV M44 WAREHOUSE→SAMSUNG MOSB YARD|FLATBED|per truck,similarity,False,0.0,True,False,False
HVDC-ADOPT-HE-0487,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,DSV Mussafah Yard,SAMSUNG MOSB YARD,FLATBED,FLATBED,per truck,200.0,200.0,0.0,PASS,True,A,True,0,1.0,,,0,0.7065454545454546,True,0.8532727272727272,0.8532727272727272,0.0,USD_OK,PASS,,0.0,4.0,USD,1.0,DSV MUSSAFAH YARD→SAMSUNG MOSB YARD|FLATBED|per truck,similarity,False,0.0,True,False,False
HVDC-MIR-DSV-221,MIRFA PMO SAMSUNG,DSV M44 WAREHOUSE,MIRFA SITE,DSV M44 WAREHOUSE,FLATBED,FLATBED,per truck,420.0,200.0,110.00000000000001,CRITICAL,False,A,False,0,,,,0,0.0,False,0.2,0.2,0.44000000000000006,USD_OK,PENDING_REVIEW,LOW_SIMILARITY|MIN_FARE_APPLIED,0.0,1.0,USD,1.0,MIRFA SITE→DSV M44 WAREHOUSE|FLATBED|per truck,none,True,110.00000000000001,True,False,False
HVDC-DSV-MOSB-MIR-220,DSV M44 WAREHOUSE,MIRFA PMO SAMSUNG,DSV M44 WAREHOUSE,MIRFA SITE,FLATBED,FLATBED,per truck,420.0,420.0,0.0,PASS,True,A,True,0,100.2,,,0,0.7879999999999999,True,0.8939999999999999,0.8939999999999999,0.0,USD_OK,PASS,,0.0,14.0,USD,1.0,DSV M44 WAREHOUSE→MIRFA SITE|FLATBED|per truck,similarity,False,0.0,True,False,False
HVDC-DSV-MOSB-MIR-220,DSV MARKAZ,MIRFA PMO SAMSUNG,DSV MARKAZ,MIRFA SITE,FLATBED,FLATBED,per truck,420.0,420.0,0.0,PASS,True,A,True,0,129.81,,,0,0.633611111111111,True,0.8168055555555556,0.8168055555555556,0.0,USD_OK,PASS,,0.0,4.0,USD,1.0,DSV MARKAZ→MIRFA SITE|FLATBED|per truck,similarity,False,0.0,True,False,False
HVDC-DSV-MOSB-222,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,DSV Mussafah Yard,SAMSUNG MOSB YARD,3 TON PU,3 TON PU,per truck,120.0,150.0,-20.0,CRITICAL,False,A,False,0,5.94,,,0,0.5935111111111111,True,0.5967555555555555,0.5967555555555555,0.08000000000000002,USD_OK,PENDING_REVIEW,MIN_FARE_APPLIED|UNDER_CHARGE_REVIEW,0.0,1.0,USD,1.0,DSV MUSSAFAH YARD→SAMSUNG MOSB YARD|3 TON PU|per truck,similarity,True,20.0,True,False,False
HVDC-DSV-MOSB-222,DSV MARKAZ,SAMSUNG MOSB YARD,DSV MARKAZ,SAMSUNG MOSB YARD,3 TON PU,3 TON PU,per truck,120.0,150.0,-20.0,CRITICAL,False,A,False,0,,,,0,0.0,False,0.30000000000000004,0.30000000000000004,0.08000000000000002,USD_OK,PENDING_REVIEW,LOW_SIMILARITY|MIN_FARE_APPLIED|UNDER_CHARGE_REVIEW,0.0,1.0,USD,1.0,DSV MARKAZ→SAMSUNG MOSB YARD|3 TON PU|per truck,none,True,20.0,True,False,False
HVDC-DSV-FP-TRO-223,MINA FREE PORT,TROJAN MUSSAFAH,MINA FREE PORT,TROJAN MUSSAFAH,LOWBED,LOWBED,per truck,680.7351940095303,600.0,13.455865668255058,CRITICAL,False,A,False,0,,,,0,0.0,False,0.3654413433174495,0.3654413433174495,0.05382346267302023,USD_OK,PENDING_REVIEW,LOW_SIMILARITY|MIN_FARE_APPLIED,0.0,8.0,USD,1.0,MINA FREE PORT→TROJAN MUSSAFAH|LOWBED|per truck,none,True,13.455865668255058,True,False,False
