s_no,sheet_name,description,rate_source,unit_rate,quantity,total_usd,status,flag,delta_pct,cg_band,charge_group,issues,tolerance,ref_rate_usd,doc_aed,gate_status,gate_score,gate_fails,supporting_docs_list,evidence_count,evidence_types
5,SCT0137,AIRPORT STORAGE FEE,AT COST,133.80530973451326,1.0,133.80530973451326,REVIEW_NEEDED,OK,0.0,PASS,AtCost,[],0.03,,,FAIL,75.0,Gate_01,[],0,[]
6,SCT0137,APPOINTMENT FEE,AT COST,7.351940095302927,1.0,7.351940095302927,REVIEW_NEEDED,OK,0.03,PASS,PortalFee,[],0.005,7.35,27.0,FAIL,75.0,Gate_01,[],0,[]
7,SCT0137,DOCUMENT PROCESSING FEE,AT COST,9.530292716133424,1.0,9.530292716133424,REVIEW_NEEDED,OK,0.0,PASS,PortalFee,[],0.005,9.53,35.0,FAIL,75.0,Gate_01,[],0,[]
1,SCT0139,MASTER DO FEE,CONTRACT,80.0,1.0,80.0,FAIL,CRITICAL,-46.67,CRITICAL,Contract,['Contract 과다/과소 청구: Delta -46.67% (Ref: $150.0)'],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
2,SCT0139,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
3,SCT0139,AIRPORT TERMINAL HANDLING FEE,CONTRACT,0.55,45.0,24.750000000000004,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,,,FAIL,75.0,Gate_01,[],0,[]
4,SCT0139,TRANSPORTATION CHARGES (3 TON PU) FROM AUH AIRPORT TO MOSB,CONTRACT,100.0,1.0,100.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,100.0,,FAIL,75.0,Gate_01,[],0,[]
6,SCT0139,AIRPORT STORAGE FEE,AT COST,24.506466984343092,1.0,24.506466984343092,REVIEW_NEEDED,OK,0.0,PASS,AtCost,[],0.03,,,FAIL,75.0,Gate_01,[],0,[]
7,SCT0139,APPOINTMENT FEE,AT COST,7.351940095302927,1.0,7.351940095302927,REVIEW_NEEDED,OK,0.03,PASS,PortalFee,[],0.005,7.35,27.0,FAIL,75.0,Gate_01,[],0,[]
8,SCT0139,DOCUMENT PROCESSING FEE,AT COST,9.530292716133424,1.0,9.530292716133424,REVIEW_NEEDED,OK,0.0,PASS,PortalFee,[],0.005,9.53,35.0,FAIL,75.0,Gate_01,[],0,[]
1,SIM0099,MASTER DO FEE,CONTRACT,80.0,1.0,80.0,FAIL,CRITICAL,-46.67,CRITICAL,Contract,['Contract 과다/과소 청구: Delta -46.67% (Ref: $150.0)'],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
2,SIM0099,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
3,SIM0099,TERMINAL HANDLING FEE,CONTRACT,0.55,4300.0,2365.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,,,FAIL,75.0,Gate_01,[],0,[]
4,SIM0099,TRIP CANCELLATION DUE TO DHL ISSUE (1 FB),CONTRACT,200.0,1.0,200.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,,,FAIL,75.0,Gate_01,[],0,[]
6,SIM0099,TRANSPORTATION CHARGES (1 FB) FROM AUH AIRPORT to DSV YARD,CONTRACT,200.0,1.0,200.0,FAIL,CRITICAL,100.0,CRITICAL,Contract,['Contract 과다/과소 청구: Delta 100.00% (Ref: $100.0)'],0.03,100.0,,FAIL,75.0,Gate_01,[],0,[]
1,HE0504,MASTER DO FEE,CONTRACT,80.0,1.0,80.0,FAIL,CRITICAL,-46.67,CRITICAL,Contract,['Contract 과다/과소 청구: Delta -46.67% (Ref: $150.0)'],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
2,HE0504,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
1,PPL0020,MASTER DO FEE,CONTRACT,80.0,1.0,80.0,FAIL,CRITICAL,-46.67,CRITICAL,Contract,['Contract 과다/과소 청구: Delta -46.67% (Ref: $150.0)'],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
2,PPL0020,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
3,PPL0020,AIRPORT TERMINAL HANDLING FEE (CW: 145 KG),CONTRACT,0.55,145.0,79.75,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,0.55,,FAIL,75.0,Gate_01,[],0,[]
4,PPL0020,TRANSPORTATION CHARGES (1 X 3 TON PU) FROM AUH AIRPORT TO DSV MUSSAFAH YARD,CONTRACT,100.0,1.0,100.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,100.0,,FAIL,75.0,Gate_01,[],0,[]
5,PPL0020,TRANSPORTATION CHARGES (1 X 3 TON PU) FROM DSV MUSSAFAH YARD TO MIRFA,CONTRACT,150.0,1.0,150.0,FAIL,CRITICAL,-64.29,CRITICAL,Contract,['Contract 과다/과소 청구: Delta -64.29% (Ref: $420.0)'],0.03,420.0,,FAIL,75.0,Gate_01,[],0,[]
6,PPL0020,APPOINTMENT FEE,AT COST,7.351940095302927,1.0,7.351940095302927,REVIEW_NEEDED,OK,0.03,PASS,PortalFee,[],0.005,7.35,27.0,FAIL,75.0,Gate_01,[],0,[]
7,PPL0020,DOCUMENT PROCESSING FEE,AT COST,9.530292716133424,1.0,9.530292716133424,REVIEW_NEEDED,OK,0.0,PASS,PortalFee,[],0.005,9.53,35.0,FAIL,75.0,Gate_01,[],0,[]
1,HE0508,MASTER DO FEE,CONTRACT,80.0,2.0,160.0,FAIL,CRITICAL,-46.67,CRITICAL,Contract,['Contract 과다/과소 청구: Delta -46.67% (Ref: $150.0)'],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
2,HE0508,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,2.0,300.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
3,HE0508,CUSTOMS INSPECTION,DSV HANDLING,125.0,2.0,250.0,REVIEW_NEEDED,OK,0.0,PASS,Other,[],0.03,,,FAIL,75.0,Gate_01,[],0,[]
1,SCT0133,MASTER DO FEE,CONTRACT,80.0,1.0,80.0,FAIL,CRITICAL,-46.67,CRITICAL,Contract,['Contract 과다/과소 청구: Delta -46.67% (Ref: $150.0)'],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
2,SCT0133,BOE CANCELLATION,CONTRACT,80.0,1.0,80.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,,,FAIL,75.0,Gate_01,[],0,[]
3,SCT0133,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
4,SCT0133,TERMINAL HANDLING FEE (CW: 3000 KG),CONTRACT,0.55,3000.0,1650.0000000000002,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,0.55,,FAIL,75.0,Gate_01,[],0,[]
5,SCT0133,TRIP CANCELLATION (AUH AIRPORT - SHUWEIHAT),CONTRACT,600.0,1.0,600.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,,,FAIL,75.0,Gate_01,[],0,[]
6,SCT0133,TRANSPORTATION CHARGES (1 FB) FROM AUH AIRPORT TO SHUWEIHAT,CONTRACT,600.0,1.0,600.0,FAIL,CRITICAL,185.71,CRITICAL,Contract,['Contract 과다/과소 청구: Delta 185.71% (Ref: $210.0)'],0.03,210.0,,FAIL,75.0,Gate_01,[],0,[]
7,SCT0133,AIRPORT STORAGE FEE,AT COST,1176.3104152484684,1.0,1176.3104152484684,REVIEW_NEEDED,OK,0.0,PASS,AtCost,[],0.03,,,FAIL,75.0,Gate_01,[],0,[]
8,SCT0133,APPOINTMENT FEE,AT COST,7.351940095302927,1.0,7.351940095302927,REVIEW_NEEDED,OK,0.03,PASS,PortalFee,[],0.005,7.35,27.0,FAIL,75.0,Gate_01,[],0,[]
9,SCT0133,DOCUMENT PROCESSING FEE,AT COST,9.530292716133424,1.0,9.530292716133424,REVIEW_NEEDED,OK,0.0,PASS,PortalFee,[],0.005,9.53,35.0,FAIL,75.0,Gate_01,[],0,[]
1,HE0509,MASTER DO FEE,CONTRACT,80.0,1.0,80.0,FAIL,CRITICAL,-46.67,CRITICAL,Contract,['Contract 과다/과소 청구: Delta -46.67% (Ref: $150.0)'],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
2,HE0509,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
3,HE0509,CUSTOMS INSPECTION FEE,DSV SERVICE,125.0,1.0,125.0,REVIEW_NEEDED,OK,0.0,PASS,Other,[],0.03,,,FAIL,75.0,Gate_01,[],0,[]
1,SCT0141,MASTER DO FEE,CONTRACT,80.0,1.0,80.0,FAIL,CRITICAL,-46.67,CRITICAL,Contract,['Contract 과다/과소 청구: Delta -46.67% (Ref: $150.0)'],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
2,SCT0141,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
3,SCT0141,AIRPORT TERMINAL HANDLING FEE,CONTRACT,0.55,216.0,118.80000000000001,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,,,FAIL,75.0,Gate_01,[],0,[]
4,SCT0141,TRANSPORTATION CHARGES (3 TON PU) FROM AUH AIRPORT TO MOSB,CONTRACT,100.0,1.0,100.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,100.0,,FAIL,75.0,Gate_01,[],0,[]
7,SCT0141,APPOINTMENT FEE,AT COST,7.351940095302927,1.0,7.351940095302927,REVIEW_NEEDED,OK,0.03,PASS,PortalFee,[],0.005,7.35,27.0,FAIL,75.0,Gate_01,[],0,[]
8,SCT0141,DOCUMENT PROCESSING FEE,AT COST,9.530292716133424,1.0,9.530292716133424,REVIEW_NEEDED,OK,0.0,PASS,PortalFee,[],0.005,9.53,35.0,FAIL,75.0,Gate_01,[],0,[]
1,HE0484,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
2,HE0484,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
1,"HE0451,0452",MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
2,"HE0451,0452",CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
1,SEI0022,MASTER DO FEE,CONTRACT,80.0,1.0,80.0,FAIL,CRITICAL,-46.67,CRITICAL,Contract,['Contract 과다/과소 청구: Delta -46.67% (Ref: $150.0)'],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
2,SEI0022,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
3,SEI0022,AIRPORT TERMINAL HANDLING FEE (CW: 100 KG),CONTRACT,0.55,100.0,55.00000000000001,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,0.55,,FAIL,75.0,Gate_01,[],0,[]
4,SEI0022,TRANSPORTATION CHARGES (3 TON PU) FROM AUH AIRPORT TO JDN MINA ZAYED WH#5,CONTRACT,100.0,1.0,100.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,,,FAIL,75.0,Gate_01,[],0,[]
5,SEI0022,DOCUMENT PROCESSING FEE,AT COST,7.351940095302927,1.0,7.351940095302927,FAIL,CRITICAL,-22.85,CRITICAL,PortalFee,[],0.005,9.53,35.0,FAIL,75.0,Gate_01,[],0,[]
6,SEI0022,APPOINTMENT FEE,AT COST,9.530292716133424,1.0,9.530292716133424,FAIL,CRITICAL,29.66,CRITICAL,PortalFee,[],0.005,7.35,27.0,FAIL,75.0,Gate_01,[],0,[]
1,HE0476,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
2,HE0476,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
3,HE0476,AIRPORT TERMINAL HANDLING FEE (CW: 100 KG),CONTRACT,125.0,2.0,250.0,FAIL,CRITICAL,22627.27,CRITICAL,Contract,['Contract 과다/과소 청구: Delta 22627.27% (Ref: $0.55)'],0.03,0.55,,FAIL,75.0,Gate_01,[],0,[]
1,"HE0510,0511",MASTER DO FEE,CONTRACT,80.0,2.0,160.0,FAIL,CRITICAL,-46.67,CRITICAL,Contract,['Contract 과다/과소 청구: Delta -46.67% (Ref: $150.0)'],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
2,"HE0510,0511",CUSTOMS CLEARANCE FEE,CONTRACT,150.0,2.0,300.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
1,HE0483,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
2,HE0483,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
1,"SIM0102,0103",MASTER DO FEE,CONTRACT,80.0,2.0,160.0,FAIL,CRITICAL,-46.67,CRITICAL,Contract,['Contract 과다/과소 청구: Delta -46.67% (Ref: $150.0)'],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
2,"SIM0102,0103",CUSTOMS CLEARANCE FEE,CONTRACT,150.0,2.0,300.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
4,"SIM0102,0103",TRANSPORTATION CHARGES (1 FB) FROM AUH AIRPORT TO MIRFA+SHUWEIHAT,CONTRACT,810.0,1.0,810.0,FAIL,CRITICAL,440.0,CRITICAL,Contract,['Contract 과다/과소 청구: Delta 440.00% (Ref: $150.0)'],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
5,"SIM0102,0103",DOCUMENT PROCESSING FEE,AT COST,7.351940095302927,1.0,7.351940095302927,FAIL,CRITICAL,-22.85,CRITICAL,PortalFee,[],0.005,9.53,35.0,FAIL,75.0,Gate_01,[],0,[]
6,"SIM0102,0103",APPOINTMENT FEE,AT COST,9.530292716133424,2.0,19.060585432266848,FAIL,CRITICAL,29.66,CRITICAL,PortalFee,[],0.005,7.35,27.0,FAIL,75.0,Gate_01,[],0,[]
1,HE0485,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
2,HE0485,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
3,HE0485,CUSTOMS INSPECTION FEE,DSV HANDLING,125.0,2.0,250.0,REVIEW_NEEDED,OK,0.0,PASS,Other,[],0.03,,,FAIL,75.0,Gate_01,[],0,[]
1,HE0499L4,MASTER DO FEE,DUTY OUTLAY,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Other,[],0.03,,,FAIL,75.0,Gate_01,[],0,[]
2,HE0499L4,DOCUMENT PROCESSING FEE,DUTY OUTLAY,20.01,1.0,20.01,FAIL,CRITICAL,109.97,CRITICAL,PortalFee,[],0.005,9.53,35.0,FAIL,75.0,Gate_01,[],0,[]
3,HE0499L4,CUSTOMS INSPECTION,DUTY OUTLAY,125.0,1.0,125.0,REVIEW_NEEDED,OK,0.0,PASS,Other,[],0.03,,,FAIL,75.0,Gate_01,[],0,[]
4,HE0499L4,CUSTOMS INSPECTION (PRO Requirement),DUTY OUTLAY,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Other,[],0.03,,,FAIL,75.0,Gate_01,[],0,[]
5,HE0499L4,CUSTOMS DUTY OUTLAY FEE,DUTY OUTLAY,989.18,1.0,989.18,REVIEW_NEEDED,OK,0.0,PASS,Other,[],0.03,,,FAIL,75.0,Gate_01,[],0,[]
6,HE0499L4,EXPORT CUSTOMS CLEARANCE FEE,DUTY OUTLAY,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Other,[],0.03,,,FAIL,75.0,Gate_01,[],0,[]
1,HE0516,MASTER DO FEE,CONTRACT,80.0,1.0,80.0,FAIL,CRITICAL,-46.67,CRITICAL,Contract,['Contract 과다/과소 청구: Delta -46.67% (Ref: $150.0)'],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
2,HE0516,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
1,HE0517,MASTER DO FEE,CONTRACT,80.0,1.0,80.0,FAIL,CRITICAL,-46.67,CRITICAL,Contract,['Contract 과다/과소 청구: Delta -46.67% (Ref: $150.0)'],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
2,HE0517,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
1,SCT0145,MASTER DO FEE,CONTRACT,80.0,1.0,80.0,FAIL,CRITICAL,-46.67,CRITICAL,Contract,['Contract 과다/과소 청구: Delta -46.67% (Ref: $150.0)'],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
2,SCT0145,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,[],0,[]
3,SCT0145,AIRPORT TERMINAL HANDLING FEE,CONTRACT,0.55,25.0,13.750000000000002,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,,,FAIL,75.0,Gate_01,[],0,[]
4,SCT0145,TRANSPORTATION CHARGES (3 TON PU) FROM AUH AIRPORT TO MOSB,CONTRACT,100.0,1.0,100.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,100.0,,FAIL,75.0,Gate_01,[],0,[]
5,SCT0145,AIRPORT STORAGE FEE,AT COST,8.168822328114365,1.0,8.168822328114365,REVIEW_NEEDED,OK,0.0,PASS,AtCost,[],0.03,,,FAIL,75.0,Gate_01,[],0,[]
6,SCT0145,APPOINTMENT FEE,AT COST,7.351940095302927,1.0,7.351940095302927,REVIEW_NEEDED,OK,0.03,PASS,PortalFee,[],0.005,7.35,27.0,FAIL,75.0,Gate_01,[],0,[]
7,SCT0145,DOCUMENT PROCESSING FEE,AT COST,9.530292716133424,1.0,9.530292716133424,REVIEW_NEEDED,OK,0.0,PASS,PortalFee,[],0.005,9.53,35.0,FAIL,75.0,Gate_01,[],0,[]
