shipment_ref,origin,destination,origin_norm,destination_norm,vehicle,vehicle_norm,unit,rate_usd,ref_rate_usd,delta_pct,cg_band,contract_ok,supplier_grade,supplier_tol_ok,distance_km,ref_distance_km,per_km,anomaly_z,anomaly_flag,similarity,similarity_pass,confidence,ml_confidence,risk_score,fx_msg,decision,flags,unnamed: 0,unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,amount_usd,currency,quantity,completeness,join_key,delta_abs,fx_ok,automation_ready
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,4,"HVDC-ADOPT-SCT-0126, HVDC-ADOPT-SCT-0126_DAS",SAMF0014268,LOADING,SAMSUNG MOSB YARD,DSV MUSSAFAH YARD,1,FLATBED,Contract,200,200,,,200,,See attached DN,,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,,,,,DSV MUSSAFAH YARD,SHUWEIHAT POWER STATION,3,FLATBED,Contract,600,1800,,,1800,,,,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,,,,,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,4,FLATBED,Contract,200,800,,,800,,,,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,,,,,DSV MUSSAFAH YARD,MIRFA PMO SAMSUNG,4,FLATBED,Contract,420,1680,,,1680,,,,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,5,HVDC-DSV-MOSB-SHU-216,SAMF0014317,LOADING,SAMSUNG MOSB YARD,SHUWEIHAT POWER STATION,1,3 TON PU,Contract,210,210,,,210,,See attached DN,,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,6,HVDC-DSV-SHU-218,SAMF0014356,LOADING,DSV MUSSAFAH YARD,SHUWEIHAT POWER STATION,1,FLATBED,Contract,600,600,,,600,,See attached DN,,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,7,HVDC-DSV-MOSB-MIR-219,SAMF0014360,LOADING,SAMSUNG MOSB YARD,MIRFA PMO SAMSUNG,1,FLATBED,Contract,420,420,,,420,,See attached DN,,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,8,HVDC-DSV-SAS-MOSB-217,SAMF0014365,LOADING,DSV M44 WAREHOUSE,SAMSUNG MOSB YARD,1,FLATBED,Contract,200,200,,,200,,See attached DN,,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,9,HVDC-ADOPT-HE-0487,SAMF0014366,LOADING,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,4,FLATBED,Contract,200,800,,,800,,See attached DN,,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
,,,<NA>,<NA>,,<NA>,<na>,,,,REF_MISSING,False,A,True,,,,,0,0.0,False,0.16000000000000003,0.16000000000000003,0.0,USD_OK,PENDING_REVIEW,REF_MISSING,10,HVDC-MIR-DSV-221,SAMF0014386,LOADING,MIRFA PMO SAMSUNG,DSV M44 WAREHOUSE,1,FLATBED,Contract,420,420,,,420,,See attached DN,,,,0.8,<NA>→<NA>|<NA>|<na>,,True,False
