s_no,sheet_name,description,rate_source,unit_rate,quantity,total_usd,status,flag,delta_pct,cg_band,charge_group,issues,tolerance,ref_rate_usd,doc_aed,gate_status,gate_score,gate_fails,pdf_validation,demurrage_risk,gates,supporting_docs_list,evidence_count,evidence_types
2,"HE0437,0438-2,0439-2,0440-1,044",CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,,,,[],0,[]
1,HE0487,MASTER DO FEE,CONTRACT,80.0,1.0,80.0,FAIL,CRITICAL,-46.67,CRITICAL,Contract,['Contract 과다/과소 청구: Delta -46.67% (Ref: $150.0)'],0.03,150.0,,FAIL,75.0,Gate_01,"{'enabled': True, 'parsed_files': 1, 'total_files': 1, 'cross_doc_status': 'PASS', 'cross_doc_issues': 0, 'issues_detail': []}",,,"[{'file_name': 'HVDC-ADOPT-HE-0487_BOE.pdf', 'file_path': 'C:\\Users\\minky\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202509\\SCNT Import (Sept 2025) - Supporting Documents\\15. HVDC-ADOPT-HE-0487\\HVDC-ADOPT-HE-0487_BOE.pdf', 'doc_type': 'BOE', 'file_size': 249379}]",1,['BOE']
2,HE0487,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,"{'enabled': True, 'parsed_files': 1, 'total_files': 1, 'cross_doc_status': 'PASS', 'cross_doc_issues': 0, 'issues_detail': []}",,,"[{'file_name': 'HVDC-ADOPT-HE-0487_BOE.pdf', 'file_path': 'C:\\Users\\minky\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202509\\SCNT Import (Sept 2025) - Supporting Documents\\15. HVDC-ADOPT-HE-0487\\HVDC-ADOPT-HE-0487_BOE.pdf', 'doc_type': 'BOE', 'file_size': 249379}]",1,['BOE']
1,HE0438-0454,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,,,,[],0,[]
2,HE0438-0454,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,,,,[],0,[]
1,"HE0425,0426,0427,0428",MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,PASS,100.0,,"{'enabled': True, 'parsed_files': 1, 'total_files': 1, 'cross_doc_status': 'PASS', 'cross_doc_issues': 0, 'issues_detail': []}",,"{'Gate-11': {'status': 'PASS', 'score': 100, 'details': 'MBL consistent: ITGOA'}, 'Gate-12': {'status': 'SKIP', 'score': 100, 'details': 'Insufficient container data'}, 'Gate-13': {'status': 'SKIP', 'score': 100, 'details': 'Insufficient weight data'}, 'Gate-14': {'status': 'PASS', 'score': 100, 'details': 'No missing certifications or no BOE data'}}","[{'file_name': 'HVDC-ADOPT-HE-0425,0426,0427,0428_BOE.pdf', 'file_path': 'C:\\Users\\minky\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202509\\SCNT Import (Sept 2025) - Supporting Documents\\17. HVDC-ADOPT-HE-0425, 0426, 0427, 0428\\HVDC-ADOPT-HE-0425,0426,0427,0428_BOE.pdf', 'doc_type': 'BOE', 'file_size': 297638}]",1,['BOE']
2,"HE0425,0426,0427,0428",CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,PASS,100.0,,"{'enabled': True, 'parsed_files': 1, 'total_files': 1, 'cross_doc_status': 'PASS', 'cross_doc_issues': 0, 'issues_detail': []}",,"{'Gate-11': {'status': 'PASS', 'score': 100, 'details': 'MBL consistent: ITGOA'}, 'Gate-12': {'status': 'SKIP', 'score': 100, 'details': 'Insufficient container data'}, 'Gate-13': {'status': 'SKIP', 'score': 100, 'details': 'Insufficient weight data'}, 'Gate-14': {'status': 'PASS', 'score': 100, 'details': 'No missing certifications or no BOE data'}}","[{'file_name': 'HVDC-ADOPT-HE-0425,0426,0427,0428_BOE.pdf', 'file_path': 'C:\\Users\\minky\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202509\\SCNT Import (Sept 2025) - Supporting Documents\\17. HVDC-ADOPT-HE-0425, 0426, 0427, 0428\\HVDC-ADOPT-HE-0425,0426,0427,0428_BOE.pdf', 'doc_type': 'BOE', 'file_size': 297638}]",1,['BOE']
1,HE0475,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,PASS,100.0,,"{'enabled': True, 'parsed_files': 1, 'total_files': 1, 'cross_doc_status': 'PASS', 'cross_doc_issues': 0, 'issues_detail': []}",,"{'Gate-11': {'status': 'PASS', 'score': 100, 'details': 'MBL consistent: NO'}, 'Gate-12': {'status': 'SKIP', 'score': 100, 'details': 'Insufficient container data'}, 'Gate-13': {'status': 'SKIP', 'score': 100, 'details': 'Insufficient weight data'}, 'Gate-14': {'status': 'PASS', 'score': 100, 'details': 'No missing certifications or no BOE data'}}","[{'file_name': 'HVDC-ADOPT-HE-0475_BOE.pdf', 'file_path': 'C:\\Users\\minky\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202509\\SCNT Import (Sept 2025) - Supporting Documents\\18. HVDC-ADOPT-HE-0475\\HVDC-ADOPT-HE-0475_BOE.pdf', 'doc_type': 'BOE', 'file_size': 297543}]",1,['BOE']
2,HE0475,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,PASS,100.0,,"{'enabled': True, 'parsed_files': 1, 'total_files': 1, 'cross_doc_status': 'PASS', 'cross_doc_issues': 0, 'issues_detail': []}",,"{'Gate-11': {'status': 'PASS', 'score': 100, 'details': 'MBL consistent: NO'}, 'Gate-12': {'status': 'SKIP', 'score': 100, 'details': 'Insufficient container data'}, 'Gate-13': {'status': 'SKIP', 'score': 100, 'details': 'Insufficient weight data'}, 'Gate-14': {'status': 'PASS', 'score': 100, 'details': 'No missing certifications or no BOE data'}}","[{'file_name': 'HVDC-ADOPT-HE-0475_BOE.pdf', 'file_path': 'C:\\Users\\minky\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202509\\SCNT Import (Sept 2025) - Supporting Documents\\18. HVDC-ADOPT-HE-0475\\HVDC-ADOPT-HE-0475_BOE.pdf', 'doc_type': 'BOE', 'file_size': 297543}]",1,['BOE']
1,HE0497,MASTER DO FEE,CONTRACT,80.0,2.0,160.0,FAIL,CRITICAL,-46.67,CRITICAL,Contract,['Contract 과다/과소 청구: Delta -46.67% (Ref: $150.0)'],0.03,150.0,,FAIL,75.0,Gate_01,"{'enabled': True, 'parsed_files': 2, 'total_files': 2, 'cross_doc_status': 'PASS', 'cross_doc_issues': 0, 'issues_detail': []}",,,"[{'file_name': 'HVDC-ADOPT-HE-0497_BOE (Part1).pdf', 'file_path': 'C:\\Users\\minky\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202509\\SCNT Import (Sept 2025) - Supporting Documents\\19. HVDC-ADOPT-HE-0497\\HVDC-ADOPT-HE-0497_BOE (Part1).pdf', 'doc_type': 'BOE', 'file_size': 188298}, {'file_name': 'HVDC-ADOPT-HE-0497_BOE (Part2).pdf', 'file_path': 'C:\\Users\\minky\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202509\\SCNT Import (Sept 2025) - Supporting Documents\\19. HVDC-ADOPT-HE-0497\\HVDC-ADOPT-HE-0497_BOE (Part2).pdf', 'doc_type': 'BOE', 'file_size': 189507}]",2,['BOE']
