no.,Shipment Invoice No.,SCT Ref.No,Site,EQ No,Case No.,Pkg,Storage,Description,L(CM),W(CM),H(CM),CBM,N.W(kgs),G.W(kgs),Stack,HS Code,Currency,Price,Vessel,COE,POL,POD,ETD/ATD,ETA/ATA,DHL WH,DSV Indoor,DSV Al Markaz,AAA Storage,DSV Outdoor,DSV MZP,MOSB,Hauler Indoor,JDN MZD,Shifting,MIR,SHU,DAS,AGI,Source_Sheet,Status_WAREHOUSE,Status_SITE,Status_Current,Status_Location,Status_Location_Date,Status_Storage,wh handling,site handling,total handling,minus,final handling,SQM,Vendor,Source_Vendor,MOSB.1,Source_File,Status_Location_YearMonth,site_handling_original,total_handling_original,wh_handling_original,FLOW_CODE,FLOW_DESCRIPTION,Final_Location
6826, PRL-SHU-080-T,HVDC-ADOPT-HE-0476,SHU,EQ-211,192590,1.0,Indoor,BUSDUCT-PACK-30,317.0,81.0,61.0,1.566297,947,1005.0,Stackable 2 tier,85369001,AED,52202.6154,Viking Orca,Turkey,Izmit,Khalifa port,2025-08-15,2025-10-14,,,,,,,,,,,,2025-10-23,,,"Case List, RIL",,1.0,site,SHU,2025-10-23,site,0,1,1,1,2,2.57,,,,UNKNOWN,,1,1,0,1,Port → Site,SHU
6827, PRL-SHU-080-T,HVDC-ADOPT-HE-0476,SHU,EQ-211,192591,1.0,Indoor,BUSDUCT-PACK-31,128.0,104.0,99.0,1.317888,154,190.0,Stackable 2 tier,85369001,AED,52202.6154,Viking Orca,Turkey,Izmit,Khalifa port,2025-08-15,2025-10-14,,,,,,,,,,,,2025-10-23,,,"Case List, RIL",,1.0,site,SHU,2025-10-23,site,0,1,1,1,2,1.33,,,,UNKNOWN,,1,1,0,1,Port → Site,SHU
6828, PRL-SHU-080-T,HVDC-ADOPT-HE-0476,SHU,EQ-211,192592,1.0,Indoor,BUSDUCT-PACK-32,120.0,81.0,70.0,0.6804,81,109.0,Stackable 2 tier,85369001,AED,52202.6154,Viking Orca,Turkey,Izmit,Khalifa port,2025-08-15,2025-10-14,,,,,,,,,,,,2025-10-23,,,"Case List, RIL",,1.0,site,SHU,2025-10-23,site,0,1,1,1,2,0.97,,,,UNKNOWN,,1,1,0,1,Port → Site,SHU
6829, PRL-SHU-080-T,HVDC-ADOPT-HE-0476,SHU,EQ-211,192593,1.0,Indoor,BUSDUCT-PACK-33,120.0,80.0,69.0,0.6624,77,105.0,Stackable 2 tier,85369001,AED,52202.6154,Viking Orca,Turkey,Izmit,Khalifa port,2025-08-15,2025-10-14,,,,,,,,,,,,2025-10-23,,,"Case List, RIL",,1.0,site,SHU,2025-10-23,site,0,1,1,1,2,0.96,,,,UNKNOWN,,1,1,0,1,Port → Site,SHU
6830, PRL-SHU-080-T,HVDC-ADOPT-HE-0476,SHU,EQ-211,192594,1.0,Indoor,BUSDUCT-PACK-34,120.0,81.0,97.0,0.94284,60,130.0,Stackable 2 tier,85369001,AED,52202.6154,Viking Orca,Turkey,Izmit,Khalifa port,2025-08-15,2025-10-14,,,,,,,,,,,,2025-10-23,,,"Case List, RIL",,1.0,site,SHU,2025-10-23,site,0,1,1,1,2,0.97,,,,UNKNOWN,,1,1,0,1,Port → Site,SHU
6831, PRL-SHU-080-T,HVDC-ADOPT-HE-0476,SHU,EQ-211,192660,1.0,Indoor,BUSDUCT-PACK-36,147.0,114.0,81.0,1.357398,620,690.0,Stackable 2 tier,85369001,AED,52202.6154,Viking Orca,Turkey,Izmit,Khalifa port,2025-08-15,2025-10-14,,,,,,,,,,,,2025-10-23,,,"Case List, RIL",,1.0,site,SHU,2025-10-23,site,0,1,1,1,2,1.68,,,,UNKNOWN,,1,1,0,1,Port → Site,SHU
6832, PRL-SHU-080-T,HVDC-ADOPT-HE-0476,SHU,EQ-211,192661,1.0,Indoor,BUSDUCT-PACK-37,215.0,80.0,76.0,1.3072,880,960.0,Stackable 2 tier,85369001,AED,52202.6154,Viking Orca,Turkey,Izmit,Khalifa port,2025-08-15,2025-10-14,,,,,,,,,,,,2025-10-23,,,"Case List, RIL",,1.0,site,SHU,2025-10-23,site,0,1,1,1,2,1.72,,,,UNKNOWN,,1,1,0,1,Port → Site,SHU
6833, PRL-SHU-080-T,HVDC-ADOPT-HE-0476,SHU,EQ-211,192662,1.0,Indoor,BUSDUCT-PACK-38,135.0,80.0,60.0,0.648,400,450.0,Stackable 2 tier,85369001,AED,52202.6154,Viking Orca,Turkey,Izmit,Khalifa port,2025-08-15,2025-10-14,,,,,,,,,,,,2025-10-23,,,"Case List, RIL",,1.0,site,SHU,2025-10-23,site,0,1,1,1,2,1.08,,,,UNKNOWN,,1,1,0,1,Port → Site,SHU
6834, PRL-SHU-080-T,HVDC-ADOPT-HE-0476,SHU,EQ-211,192663,1.0,Indoor,BUSDUCT-PACK-39,320.0,80.0,65.0,1.664,1050,1190.0,Stackable 2 tier,85369001,AED,52202.6154,Viking Orca,Turkey,Izmit,Khalifa port,2025-08-15,2025-10-14,,,,,,,,,,,,2025-10-23,,,"Case List, RIL",,1.0,site,SHU,2025-10-23,site,0,1,1,1,2,2.56,,,,UNKNOWN,,1,1,0,1,Port → Site,SHU
6835, PRL-SHU-080-T,HVDC-ADOPT-HE-0476,SHU,EQ-211,192664,1.0,Indoor,BUSDUCT-PACK-40,317.0,90.0,65.0,1.85445,1050,1190.0,Stackable 2 tier,85369001,AED,52202.6154,Viking Orca,Turkey,Izmit,Khalifa port,2025-08-15,2025-10-14,,,,,,,,,,,,2025-10-23,,,"Case List, RIL",,1.0,site,SHU,2025-10-23,site,0,1,1,1,2,2.85,,,,UNKNOWN,,1,1,0,1,Port → Site,SHU
