no.,Shipment Invoice No.,SCT Ref.No,Site,EQ No,Case No.,Pkg,Storage,Description,L(CM),W(CM),H(CM),CBM,N.W(kgs),G.W(kgs),Stack,HS Code,Currency,Price,Vessel,COE,POL,POD,ETD/ATD,ETA/ATA,DHL WH,DSV Indoor,DSV Al Markaz,AAA Storage,DSV Outdoor,DSV MZP,MOSB,Hauler Indoor,JDN MZD,Shifting,MIR,SHU,DAS,AGI,Source_Sheet,Status_WAREHOUSE,Status_SITE,Status_Current,Status_Location,Status_Location_Date,Status_Storage,wh handling,site handling,total handling,minus,final handling,SQM,Vendor,Source_Vendor,MOSB.1,Source_File,Status_Location_YearMonth,site_handling_original,total_handling_original,wh_handling_original,FLOW_CODE,FLOW_DESCRIPTION,Final_Location
104,PRL-DAS-002-O Lot3,HVDC-ADOPT-HE-0007,DAS,EQ-001,190370,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Belgium,Antwerp,Khalifa port,2023-12-19,2024-01-25,,2024-01-31,,,,,,,,,,,2025-06-07,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-07,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
105,PRL-DAS-002-O Lot3,HVDC-ADOPT-HE-0007,DAS,EQ-001,190372,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Belgium,Antwerp,Khalifa port,2023-12-19,2024-01-25,,2024-01-31,,,,,,,,,,,2025-06-07,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-07,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
106,PRL-DAS-002-O Lot3,HVDC-ADOPT-HE-0007,DAS,EQ-001,190374,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Belgium,Antwerp,Khalifa port,2023-12-19,2024-01-25,,2024-01-31,,,,,,,,,,,2025-06-07,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-07,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
107,PRL-DAS-002-O Lot3,HVDC-ADOPT-HE-0007,DAS,EQ-001,190376,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Belgium,Antwerp,Khalifa port,2023-12-19,2024-01-25,,2024-02-02,,,,,,,,,,,2025-06-07,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-07,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
108,PRL-DAS-002-O Lot3,HVDC-ADOPT-HE-0007,DAS,EQ-001,190381,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Belgium,Antwerp,Khalifa port,2023-12-19,2024-01-25,,2024-02-02,,,,,,,,,,,2025-06-11,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-11,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
109,PRL-DAS-002-O Lot3,HVDC-ADOPT-HE-0007,DAS,EQ-001,190384,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Belgium,Antwerp,Khalifa port,2023-12-19,2024-01-25,,2024-02-02,,,,,,,,,,,2025-06-11,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-11,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
110,PRL-DAS-002-O Lot3,HVDC-ADOPT-HE-0007,DAS,EQ-001,190399,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Belgium,Antwerp,Khalifa port,2023-12-19,2024-01-25,,2024-01-31,,,,,,,,,,,2025-06-11,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-11,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
111,PRL-DAS-002-O Lot3,HVDC-ADOPT-HE-0007,DAS,EQ-001,190406,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Belgium,Antwerp,Khalifa port,2023-12-19,2024-01-25,,2024-02-02,,,,,,,,,,,2025-06-11,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-11,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
112,PRL-DAS-002-O Lot3,HVDC-ADOPT-HE-0007,DAS,EQ-001,190432,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Belgium,Antwerp,Khalifa port,2023-12-19,2024-01-25,,2024-02-02,,,,,,,,,,,2025-06-11,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-11,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
113,PRL-DAS-002-O Lot3,HVDC-ADOPT-HE-0007,DAS,EQ-001,190435,1.0,Indoor,"Layer – Hanging Valve, 12 Cells, 3-sub",365.0,233.0,172.0,14.62774,4250,5000.0,Stackable x1,85412900,SEK,2079511.0,MSC Ambra,Belgium,Antwerp,Khalifa port,2023-12-19,2024-01-25,,2024-02-02,,,,,,,,,,,2025-06-11,,"Case List, RIL",1.0,1.0,site,DAS,2025-06-11,site,1,1,2,0,2,8.5,,HITACHI,,HITACHI(HE),,1,2,1,2,Port → WH → Site,DAS
