no.,Shipment Invoice No.,SCT Ref.No,Site,EQ No,Case No.,Pkg,Storage,Description,L(CM),W(CM),H(CM),CBM,N.W(kgs),G.W(kgs),Stack,HS Code,Currency,Price,Vessel,COE,POL,POD,ETD/ATD,ETA/ATA,DHL WH,DSV Indoor,DSV Al Markaz,AAA Storage,DSV Outdoor,DSV MZP,MOSB,Hauler Indoor,JDN MZD,Shifting,MIR,SHU,DAS,AGI,Source_Sheet,Status_WAREHOUSE,Status_SITE,Status_Current,Status_Location,Status_Location_Date,Status_Storage,wh handling,site handling,total handling,minus,final handling,SQM,Vendor,Source_Vendor,MOSB.1,Source_File,Status_Location_YearMonth,site_handling_original,total_handling_original,wh_handling_original,FLOW_CODE,FLOW_DESCRIPTION,Final_Location
1314,477QGP51795130/ PS025_DG / 45187517,HVDC-ADOPT-SIM-0041,AGI,SCT-19LT-PRC-PO-004,13OP-03028.P.01.3060,1.0,Indoor,Hardener 402,29.0,22.0,33.0,0.021054,0.4,1.6,Non Stackable,3911 9019,USD,50.04,Maersk Hamburg,Germany,Hamburg,Khalifa port,2024-11-25,2025-01-03,,,,2025-02-07,,,,,,,,,,,"Case List, RIL",1.0,,warehouse,AAA Storage,2025-02-07,warehouse,1,0,1,-1,0,0.06,,SIEMENS,,SIEMENS(SIM),,0,1,1,2,Port → WH → Site,AAA Storage
1315,477QGP51795130/ PS025_DG / 45187517,HVDC-ADOPT-SIM-0041,AGI,SCT-19LT-PRC-PO-004,13OP-03028.P.01.3061,1.0,Indoor,Hardener 402,29.0,22.0,33.0,0.021054,1.8,3.2,Non Stackable,3911 9019,USD,100.08,Maersk Hamburg,Germany,Hamburg,Khalifa port,2024-11-25,2025-01-03,,,,2025-02-07,,,,,,,,,,,"Case List, RIL",1.0,,warehouse,AAA Storage,2025-02-07,warehouse,1,0,1,-1,0,0.06,,SIEMENS,,SIEMENS(SIM),,0,1,1,2,Port → WH → Site,AAA Storage
1316,477QGP51795130/ PS025_DG / 45187517,HVDC-ADOPT-SIM-0041,AGI,SCT-19LT-PRC-PO-004,13OP-03028.P.01.3062,1.0,Indoor,Lack Alexit 5225,29.0,22.0,33.0,0.021054,3,4.6,Non Stackable,3208 2090,USD,272.13,Maersk Hamburg,Germany,Hamburg,Khalifa port,2024-11-25,2025-01-03,,,,2025-02-07,,,,,,,,,,,"Case List, RIL",1.0,,warehouse,AAA Storage,2025-02-07,warehouse,1,0,1,-1,0,0.06,,SIEMENS,,SIEMENS(SIM),,0,1,1,2,Port → WH → Site,AAA Storage
1317,477QGP51795130/ PS025_DG / 45187517,HVDC-ADOPT-SIM-0041,AGI,SCT-19LT-PRC-PO-004,13OP-03028.P.01.3063,1.0,Indoor,Lack Alexit 5225,29.0,22.0,33.0,0.021054,3,4.6,Non Stackable,3208 2090,USD,181.42,Maersk Hamburg,Germany,Hamburg,Khalifa port,2024-11-25,2025-01-03,,,,2025-02-07,,,,,,,,,,,"Case List, RIL",1.0,,warehouse,AAA Storage,2025-02-07,warehouse,1,0,1,-1,0,0.06,,SIEMENS,,SIEMENS(SIM),,0,1,1,2,Port → WH → Site,AAA Storage
1318,477QGP51795130/ PS025_DG / 45187517,HVDC-ADOPT-SIM-0041,AGI,SCT-19LT-PRC-PO-004,13OP-03028.P.01.3064,1.0,Indoor,Varnish Alexit Ral 9006,29.0,22.0,33.0,0.021054,2,3.5,Non Stackable,3208 2090,USD,52.79,Maersk Hamburg,Germany,Hamburg,Khalifa port,2024-11-25,2025-01-03,,,,2025-02-07,,,,,,,,,,,"Case List, RIL",1.0,,warehouse,AAA Storage,2025-02-07,warehouse,1,0,1,-1,0,0.06,,SIEMENS,,SIEMENS(SIM),,0,1,1,2,Port → WH → Site,AAA Storage
1319,477QGP51795130/ PS025_DG / 45187517,HVDC-ADOPT-SIM-0041,AGI,SCT-19LT-PRC-PO-004,13OP-03028.P.01.3065,1.0,Indoor,Hardener 402,29.0,22.0,33.0,0.021054,0.8,2.2,Non Stackable,3911 9019,USD,100.08,Maersk Hamburg,Germany,Hamburg,Khalifa port,2024-11-25,2025-01-03,,,,2025-02-07,,,,,,,,,,,"Case List, RIL",1.0,,warehouse,AAA Storage,2025-02-07,warehouse,1,0,1,-1,0,0.06,,SIEMENS,,SIEMENS(SIM),,0,1,1,2,Port → WH → Site,AAA Storage
1320,477QGP51795130/ PS025_DG / 45187517,HVDC-ADOPT-SIM-0041,AGI,SCT-19LT-PRC-PO-004,13OP-03028.P.01.3066,1.0,Indoor,Tectyl 506,29.0,22.0,33.0,0.021054,0.7,2.0,Non Stackable,3824 9996,USD,8.8,Maersk Hamburg,Germany,Hamburg,Khalifa port,2024-11-25,2025-01-03,,,,2025-02-07,,,,,,,,,,,"Case List, RIL",1.0,,warehouse,AAA Storage,2025-02-07,warehouse,1,0,1,-1,0,0.06,,SIEMENS,,SIEMENS(SIM),,0,1,1,2,Port → WH → Site,AAA Storage
1321,477QGP51795130/ PS025_DG / 45187517,HVDC-ADOPT-SIM-0041,AGI,SCT-19LT-PRC-PO-004,13OP-03028.P.01.3067,1.0,Indoor,Celerol primer 918,29.0,22.0,33.0,0.021054,5.5,7.7,Non Stackable,3208 2090,USD,284.57,Maersk Hamburg,Germany,Hamburg,Khalifa port,2024-11-25,2025-01-03,,,,2025-02-07,,,,,,,,,,,"Case List, RIL",1.0,,warehouse,AAA Storage,2025-02-07,warehouse,1,0,1,-1,0,0.06,,SIEMENS,,SIEMENS(SIM),,0,1,1,2,Port → WH → Site,AAA Storage
1322,477QGP51795130/ PS025_DG / 45187517,HVDC-ADOPT-SIM-0041,AGI,SCT-19LT-PRC-PO-004,13OP-03028.P.01.3148,1.0,Indoor,Haku 1025 / 920,68.0,48.0,67.0,0.218688,53,82.0,Non Stackable,2710 1221,USD,1535.68,Maersk Hamburg,Germany,Hamburg,Khalifa port,2024-11-25,2025-01-03,,,,2025-02-07,,,,,,,,,,,"Case List, RIL",1.0,,warehouse,AAA Storage,2025-02-07,warehouse,1,0,1,-1,0,0.33,,SIEMENS,,SIEMENS(SIM),,0,1,1,2,Port → WH → Site,AAA Storage
1323,477QGP51795130/ PS025_DG / 45187517,HVDC-ADOPT-SIM-0041,AGI,SCT-19LT-PRC-PO-004,13OP-03028.P.01.3000,1.0,Indoor,SF6-Gas 600L,263.2,179.2,128.8,6.074908672,2120,2479.0,Non Stackable,2812 9000,USD,66010.94,Maersk Hamburg,Germany,Hamburg,Khalifa port,2024-11-25,2025-01-03,,,,2025-02-07,,,,,,,,,,,"Case List, RIL",1.0,,warehouse,AAA Storage,2025-02-07,warehouse,1,0,1,-1,0,4.72,,SIEMENS,,SIEMENS(SIM),,0,1,1,2,Port → WH → Site,AAA Storage
1324,477QGP51795130/ PS025_DG / 45187517,HVDC-ADOPT-SIM-0041,AGI,SCT-19LT-PRC-PO-004,13OP-03028.P.01.3001,1.0,Indoor,SF6-Gas 600L,263.2,179.2,128.8,6.074908672,2119,2479.0,Non Stackable,2812 9000,USD,66010.94,Maersk Hamburg,Germany,Hamburg,Khalifa port,2024-11-25,2025-01-03,,,,2025-02-07,,,,,,,,,,,"Case List, RIL",1.0,,warehouse,AAA Storage,2025-02-07,warehouse,1,0,1,-1,0,4.72,,SIEMENS,,SIEMENS(SIM),,0,1,1,2,Port → WH → Site,AAA Storage
1325,477QGP51795130/ PS025_DG / 45187517,HVDC-ADOPT-SIM-0041,AGI,SCT-19LT-PRC-PO-004,13OP-03028.P.01.3002,1.0,Indoor,SF6-Gas 600L,263.2,179.2,128.8,6.074908672,2119,2479.0,Non Stackable,2812 9000,USD,66010.94,Maersk Hamburg,Germany,Hamburg,Khalifa port,2024-11-25,2025-01-03,,,,2025-02-07,,,,,,,,,,,"Case List, RIL",1.0,,warehouse,AAA Storage,2025-02-07,warehouse,1,0,1,-1,0,4.72,,SIEMENS,,SIEMENS(SIM),,0,1,1,2,Port → WH → Site,AAA Storage
1326,477QGP51795130/ PS025_DG / 45187517,HVDC-ADOPT-SIM-0041,AGI,SCT-19LT-PRC-PO-004,13OP-03028.P.01.3003,1.0,Indoor,SF6-Gas 600L,263.2,179.2,128.8,6.074908672,2125,2479.0,Non Stackable,2812 9000,USD,66010.94,Maersk Hamburg,Germany,Hamburg,Khalifa port,2024-11-25,2025-01-03,,,,2025-02-07,,,,,,,,,,,"Case List, RIL",1.0,,warehouse,AAA Storage,2025-02-07,warehouse,1,0,1,-1,0,4.72,,SIEMENS,,SIEMENS(SIM),,0,1,1,2,Port → WH → Site,AAA Storage
1327,477QGP51798225/ PS029 /45188221,HVDC-ADOPT-SIM-0042,AGI,SCT-19LT-PRC-PO-004,13OP-03028.P.01.3505,1.0,Outdoor,Preassembled Accessories,128.0,88.0,100.0,1.1264,271,367.0,Non Stackable,8537 2099,USD,67611.27259259259,ESTELLE MAERSK ,Germany,Hamburg,Khalifa port,2025-01-19,2025-03-02,,,,,,,2025-07-19,,,,,,,,"Case List, RIL",1.0,,warehouse,MOSB,2025-07-19,warehouse,1,0,1,-1,0,1.13,,SIEMENS,,SIEMENS(SIM),,0,1,1,2,Port → WH → Site,MOSB
