origin_norm,destination_norm,vehicle_norm,unit,median_rate_usd,median_distance_km,p25,p75,samples,key
DSV Mussafah Yard,Al Masaood (MOSB),FB,per truck,200.0,3.79,200.0,200.0,98,DSV MUSSAFAH YARD||AL MASAOOD (MOSB)||FB||per truck
DSV Mussafah Yard,Al Masaood (MOSB),LOWBED,per truck,617.0,5.58,594.2874999999999,701.0074999999999,12,DSV MUSSAFAH YARD||AL MASAOOD (MOSB)||LOWBED||per truck
DSV Mussafah Yard,Al Masaood (MOSB),LOWBED (23M),per truck,408.44,5.58,408.44,408.44,2,DSV MUSSAFAH YARD||AL MASAOOD (MOSB)||LOWBED (23M)||per truck
DSV Mussafah Yard,DSV Mussafah Yard,FB,per truck,200.0,1.0,200.0,200.0,2,DSV MUSSAFAH YARD||DSV MUSSAFAH YARD||FB||per truck
DSV Mussafah Yard,Hauler Logistic Services Llc,FB,per truck,871.34,150.0,871.34,871.34,1,DSV MUSSAFAH YARD||HAULER LOGISTIC SERVICES LLC||FB||per truck
DSV Mussafah Yard,Hauler Logistic Services Llc,FLATBED HAZMAT,per truck,871.34,150.0,871.34,871.34,1,DSV MUSSAFAH YARD||HAULER LOGISTIC SERVICES LLC||FLATBED HAZMAT||per truck
DSV Mussafah Yard,M44 Warehouse,FB,per truck,200.0,1.0,200.0,200.0,1,DSV MUSSAFAH YARD||M44 WAREHOUSE||FB||per truck
DSV Mussafah Yard,MIRFA SITE,FB,per truck,420.0,101.4,420.0,420.0,53,DSV MUSSAFAH YARD||MIRFA SITE||FB||per truck
DSV Mussafah Yard,MIRFA SITE,FLATBED (CICPA),per truck,420.0,101.4,420.0,420.0,1,DSV MUSSAFAH YARD||MIRFA SITE||FLATBED (CICPA)||per truck
DSV Mussafah Yard,MIRFA SITE,LOWBED,per truck,953.03,101.4,953.03,953.03,2,DSV MUSSAFAH YARD||MIRFA SITE||LOWBED||per truck
DSV Mussafah Yard,Mina Zayed Port,FB,per truck,285.5,17.0,228.25,342.75,2,DSV MUSSAFAH YARD||MINA ZAYED PORT||FB||per truck
DSV Mussafah Yard,SHUWEIHAT Site,3 TON PU,per truck,250.0,110.7,240.0,250.0,5,DSV MUSSAFAH YARD||SHUWEIHAT SITE||3 TON PU||per truck
DSV Mussafah Yard,SHUWEIHAT Site,FB,per truck,600.0,245.0,600.0,600.0,45,DSV MUSSAFAH YARD||SHUWEIHAT SITE||FB||per truck
DSV Mussafah Yard,SHUWEIHAT Site,FLATBED (CICPA),per truck,420.0,110.7,420.0,420.0,1,DSV MUSSAFAH YARD||SHUWEIHAT SITE||FLATBED (CICPA)||per truck
DSV Mussafah Yard,SHUWEIHAT Site,FLATBED HAZMAT,per truck,,110.7,,,0,DSV MUSSAFAH YARD||SHUWEIHAT SITE||FLATBED HAZMAT||per truck
Dhafir Group For General Trading - Mussafah,SHUWEIHAT Site,FB,per truck,700.0,5.94,700.0,700.0,1,DHAFIR GROUP FOR GENERAL TRADING - MUSSAFAH||SHUWEIHAT SITE||FB||per truck
Dsv Al Markaz Wh,Al Masaood (MOSB),FB,per truck,242.9543907420014,5.7,200.0,285.9087814840028,4,DSV AL MARKAZ WH||AL MASAOOD (MOSB)||FB||per truck
Dsv Al Markaz Wh,Al Masaood (MOSB),LOWBED,per truck,612.6616746085773,5.7,612.6616746085773,612.6616746085773,1,DSV AL MARKAZ WH||AL MASAOOD (MOSB)||LOWBED||per truck
Dsv Al Markaz Wh,DSV Mussafah Yard,FB,per truck,200.0,1.0,200.0,200.0,1,DSV AL MARKAZ WH||DSV MUSSAFAH YARD||FB||per truck
Dsv Al Markaz Wh,M44 Warehouse,FB,per truck,200.0,,200.0,200.0,1,DSV AL MARKAZ WH||M44 WAREHOUSE||FB||per truck
Dsv Al Markaz Wh,MIRFA SITE,FB,per truck,420.0,129.81,420.0,420.0,1,DSV AL MARKAZ WH||MIRFA SITE||FB||per truck
Dsv Al Markaz Wh,SHUWEIHAT Site,FB,per truck,600.0,12.0,600.0,600.0,20,DSV AL MARKAZ WH||SHUWEIHAT SITE||FB||per truck
Dsv Al Markaz Wh,SHUWEIHAT Site,FLATBED,per truck,600.0,11.9,600.0,600.0,1,DSV AL MARKAZ WH||SHUWEIHAT SITE||FLATBED||per truck
F3 Fujairah,Al Masaood (MOSB),FB,per truck,836.0,246.0,836.0,836.0,1,F3 FUJAIRAH||AL MASAOOD (MOSB)||FB||per truck
F3 Fujairah,Al Masaood (MOSB),LOWBED,per truck,2500.0,246.0,2500.0,2500.0,1,F3 FUJAIRAH||AL MASAOOD (MOSB)||LOWBED||per truck
F3 Fujairah,MIRFA SITE,FB,per truck,1217.7,356.36,1026.85,1236.85,3,F3 FUJAIRAH||MIRFA SITE||FB||per truck
F3 Fujairah,MIRFA SITE,LOWBED,per truck,2076.0,356.36,2076.0,2076.0,1,F3 FUJAIRAH||MIRFA SITE||LOWBED||per truck
F3 Fujairah,SHUWEIHAT Site,FB,per truck,1420.0,444.8,1420.0,1420.0,2,F3 FUJAIRAH||SHUWEIHAT SITE||FB||per truck
Fujairah,MIRFA SITE,LOWBED,per truck,2076.0,303.4,2076.0,2076.0,1,FUJAIRAH||MIRFA SITE||LOWBED||per truck
Fujairah,SHUWEIHAT Site,LOWBED,per truck,2547.0,314.2,2461.5,2632.5,2,FUJAIRAH||SHUWEIHAT SITE||LOWBED||per truck
Gac Kizad,Al Masaood (MOSB),FB,per truck,252.0,61.0,252.0,252.0,1,GAC KIZAD||AL MASAOOD (MOSB)||FB||per truck
Hanmaek Rak,Tareeq Al Khaleej Sharjah,FB,per truck,400.0,65.7,400.0,400.0,2,HANMAEK RAK||TAREEQ AL KHALEEJ SHARJAH||FB||per truck
Kec Dip Dubai,SHUWEIHAT Site,FB,per truck,980.0,297.72,980.0,980.0,2,KEC DIP DUBAI||SHUWEIHAT SITE||FB||per truck
Kec Towers Llc Dubai,MIRFA SITE,FB,per truck,1260.0,129.81,770.0,1750.0,4,KEC TOWERS LLC DUBAI||MIRFA SITE||FB||per truck
Kec Towers Llc Dubai,SHUWEIHAT Site,FB,per truck,980.0,233.15,980.0,980.0,2,KEC TOWERS LLC DUBAI||SHUWEIHAT SITE||FB||per truck
M44 Warehouse,Al Masaood (MOSB),3 TON PU,per truck,100.0,1.6,100.0,110.0,3,M44 WAREHOUSE||AL MASAOOD (MOSB)||3 TON PU||per truck
